Label,String
Npc_Wanderer_InstantTips,"Npc_Wanderer_InstantTips"
TwnObj_Village_Korok_DekuTree_A_01_Alias,"TwnObj_Village_Korok_DekuTree_A_01_Alias"
Npc_Kakariko002_InstantTips,"Npc_Kakariko002_InstantTips"
Npc_Zora003_Name,"Npc_Zora003_Name"
Npc_ZoraB001_Sage_Alias,"Npc_ZoraB001_Sage_Alias"
Npc_AncientAssistant003_K1_InstantTips,"Npc_AncientAssistant003_K1_InstantTips"
Npc_HighMountain001_Normal_Caption,"Npc_HighMountain001_Normal_Caption"
Npc_HatenoVillage031_Caption,"Npc_HatenoVillage031_Caption"
Npc_ValleyVillage010_InstantTips,"Npc_ValleyVillage010_InstantTips"
Npc_AncientDoctor_Name,"Npc_AncientDoctor_Name"
Npc_ValleyVillage010_Retire_Alias,"Npc_ValleyVillage010_Retire_Alias"
Npc_ZoraFencer_Sage_Alias,"Npc_ZoraFencer_Sage_Alias"
Npc_AncientAssistant003_K1_Name,"Npc_AncientAssistant003_K1_Name"
Npc_BaseCamp_Assistant_Caption,"Npc_BaseCamp_Assistant_Caption"
Npc_BaseCamp_Assistant_Name,"Npc_BaseCamp_Assistant_Name"
Npc_Goron020_Sage_Alias,"Npc_Goron020_Sage_Alias"
Enemy_Ganondorf_Caption,"Enemy_Ganondorf_Caption"
Npc_oasis003_InstantTips,"Npc_oasis003_InstantTips"
Npc_OldKorok_Name,"Npc_OldKorok_Name"
Npc_Wanderer_Caption,"Npc_Wanderer_Caption"
Npc_Wanderer_Name,"Npc_Wanderer_Name"
Npc_ZoraB001_InstantTips,"Npc_ZoraB001_InstantTips"
Dm_Npc_Raul_First_Caption,"Dm_Npc_Raul_First_Caption"
Dm_Npc_Raul_Second_Caption,"Dm_Npc_Raul_Second_Caption"
Npc_oasis003_Normal_Alias,"Npc_oasis003_Normal_Alias"
TwnObj_Village_Korok_DekuTree_A_01_InstantTips,"TwnObj_Village_Korok_DekuTree_A_01_InstantTips"
Npc_AncientDoctor_Hateno_Alias,"Npc_AncientDoctor_Hateno_Alias"
Npc_AncientDoctor_Hateno_Caption,"Npc_AncientDoctor_Hateno_Caption"
Npc_oasis003_Name,"Npc_oasis003_Name"
Npc_AncientAssistant003_K1_Alias,"Npc_AncientAssistant003_K1_Alias"
Npc_HighMountain001_Name,"Npc_HighMountain001_Name"
Npc_ZoraFencer_Name,"Npc_ZoraFencer_Name"
Dm_Npc_Zelda_Search_Improve_Alias,"Dm_Npc_Zelda_Search_Improve_Alias"
Npc_Goron020_Normal_Alias,"Npc_Goron020_Normal_Alias"
Npc_HighMountain001_Normal_Alias,"Npc_HighMountain001_Normal_Alias"
Npc_ValleyVillage010_Normal_Caption,"Npc_ValleyVillage010_Normal_Caption"
Enemy_Assassin_Senior_Alias,"Enemy_Assassin_Senior_Alias"
Npc_oasis007_Name,"Npc_oasis007_Name"
Enemy_Assassin_Senior_Name,"Enemy_Assassin_Senior_Name"
Npc_oasis003_Sage_Caption,"Npc_oasis003_Sage_Caption"
Enemy_Ganondorf_Alias,"Enemy_Ganondorf_Alias"
Npc_ZoraFencer_Normal_Caption,"Npc_ZoraFencer_Normal_Caption"
Dm_Npc_Raul_Normal_Caption,"Dm_Npc_Raul_Normal_Caption"
Npc_Zora003_InstantTips,"Npc_Zora003_InstantTips"
Dm_Npc_Raumi_Name,"Dm_Npc_Raumi_Name"
Dm_Npc_Zelda_Search_Improve_Name,"Dm_Npc_Zelda_Search_Improve_Name"
Npc_oasis003_Normal_Caption,"Npc_oasis003_Normal_Caption"
Npc_HatenoVillage031_Alias,"Npc_HatenoVillage031_Alias"
Npc_Wanderer_Alias,"Npc_Wanderer_Alias"
Npc_Goron020_Sage_Caption,"Npc_Goron020_Sage_Caption"
Npc_HighMountain001_InstantTips,"Npc_HighMountain001_InstantTips"
Npc_HighMountain001_Sage_Caption,"Npc_HighMountain001_Sage_Caption"
Dm_Npc_Raumi_InstantTips,"Dm_Npc_Raumi_InstantTips"
Npc_OldKorok_InstantTips,"Npc_OldKorok_InstantTips"
Npc_ZoraB001_Normal_Alias,"Npc_ZoraB001_Normal_Alias"
Enemy_Ganondorf_InstantTips,"Enemy_Ganondorf_InstantTips"
Npc_AncientDoctor_Caption,"Npc_AncientDoctor_Caption"
Npc_ZoraFencer_Normal_Alias,"Npc_ZoraFencer_Normal_Alias"
Npc_OldKorok_Caption,"Npc_OldKorok_Caption"
Npc_ZoraB001_Name,"Npc_ZoraB001_Name"
Dm_Npc_Raumi_Caption,"Dm_Npc_Raumi_Caption"
Npc_BaseCamp_Assistant_Alias,"Npc_BaseCamp_Assistant_Alias"
Npc_Zora003_Recovery_Caption,"Npc_Zora003_Recovery_Caption"
Enemy_Assassin_Senior_InstantTips,"Enemy_Assassin_Senior_InstantTips"
Npc_HatenoVillage031_Name,"Npc_HatenoVillage031_Name"
Npc_Kakariko002_Name,"Npc_Kakariko002_Name"
Npc_ValleyVillage010_Name,"Npc_ValleyVillage010_Name"
Npc_Zora003_Pollution_Caption,"Npc_Zora003_Pollution_Caption"
TwnObj_Village_Korok_DekuTree_A_01_Caption,"TwnObj_Village_Korok_DekuTree_A_01_Caption"
Dm_Npc_Raumi_Alias,"Dm_Npc_Raumi_Alias"
Dm_Npc_Zelda_Search_Improve_Caption,"Dm_Npc_Zelda_Search_Improve_Caption"
Npc_HatenoVillage031_InstantTips,"Npc_HatenoVillage031_InstantTips"
Npc_Zora003_Recovery_Alias,"Npc_Zora003_Recovery_Alias"
Npc_ZoraB001_Sage_Caption,"Npc_ZoraB001_Sage_Caption"
Npc_ZoraFencer_InstantTips,"Npc_ZoraFencer_InstantTips"
Dm_Npc_Raul_Second_Alias,"Dm_Npc_Raul_Second_Alias"
Npc_oasis007_Caption,"Npc_oasis007_Caption"
Npc_Kakariko002_Caption,"Npc_Kakariko002_Caption"
Npc_oasis003_Sage_Alias,"Npc_oasis003_Sage_Alias"
Enemy_Ganondorf_Name,"Enemy_Ganondorf_Name"
TwnObj_Village_Korok_DekuTree_A_01_Name,"TwnObj_Village_Korok_DekuTree_A_01_Name"
Npc_AncientDoctor_Hateno_InstantTips,"Npc_AncientDoctor_Hateno_InstantTips"
Dm_Npc_Raul_Name,"Dm_Npc_Raul_Name"
Npc_Goron020_Name,"Npc_Goron020_Name"
Npc_OldKorok_Alias,"Npc_OldKorok_Alias"
Npc_oasis007_InstantTips,"Npc_oasis007_InstantTips"
Dm_Npc_Raul_Normal_Alias,"Dm_Npc_Raul_Normal_Alias"
Npc_AncientDoctor_Alias,"Npc_AncientDoctor_Alias"
Npc_Goron020_Puppet_Alias,"Npc_Goron020_Puppet_Alias"
Dm_Npc_Raul_First_Alias,"Dm_Npc_Raul_First_Alias"
Npc_Goron020_Normal_Caption,"Npc_Goron020_Normal_Caption"
Npc_AncientAssistant003_K1_Caption,"Npc_AncientAssistant003_K1_Caption"
Npc_ValleyVillage010_Retire_Caption,"Npc_ValleyVillage010_Retire_Caption"
Npc_ZoraFencer_Sage_Caption,"Npc_ZoraFencer_Sage_Caption"
Npc_Zora003_Pollution_Alias,"Npc_Zora003_Pollution_Alias"
Npc_Goron020_Puppet_Caption,"Npc_Goron020_Puppet_Caption"
Npc_Kakariko002_Alias,"Npc_Kakariko002_Alias"
Npc_oasis007_Alias,"Npc_oasis007_Alias"
Npc_ValleyVillage010_Normal_Alias,"Npc_ValleyVillage010_Normal_Alias"
Npc_BaseCamp_Assistant_InstantTips,"Npc_BaseCamp_Assistant_InstantTips"
Npc_HighMountain001_Sage_Alias,"Npc_HighMountain001_Sage_Alias"
Npc_ZoraB001_Normal_Caption,"Npc_ZoraB001_Normal_Caption"
Enemy_Assassin_Senior_Caption,"Enemy_Assassin_Senior_Caption"
Npc_AncientDoctor_Hateno_Name,"Npc_AncientDoctor_Hateno_Name"
Npc_Goron020_InstantTips,"Npc_Goron020_InstantTips"
