Label,String
DmT_GO_MiddleBossIn_Text_002_c,"DmT_GO_MiddleBossIn_Text_002_c"
DmT_GO_MiddleBossIn_Text_003_b,"DmT_GO_MiddleBossIn_Text_003_b"
DmT_GO_MiddleBossIn_Text_002_d,"DmT_GO_MiddleBossIn_Text_002_d"
DmT_GO_MiddleBossIn_Text_003_c,"DmT_GO_MiddleBossIn_Text_003_c"
DmT_GO_MiddleBossIn_Text_004_b,"DmT_GO_MiddleBossIn_Text_004_b"
DmT_GO_MiddleBossIn_Text_002_e,"DmT_GO_MiddleBossIn_Text_002_e"
DmT_GO_MiddleBossIn_Text_003_bb,"DmT_GO_MiddleBossIn_Text_003_bb"
DmT_GO_MiddleBossIn_Text_004_c,"DmT_GO_MiddleBossIn_Text_004_c"
DmT_GO_MiddleBossIn_Text_005_c,"DmT_GO_MiddleBossIn_Text_005_c"
DmT_GO_MiddleBossIn_Text_006_b,"DmT_GO_MiddleBossIn_Text_006_b"
DmT_GO_MiddleBossIn_Text_000_b,"DmT_GO_MiddleBossIn_Text_000_b"
DmT_GO_MiddleBossIn_Text_005_d,"DmT_GO_MiddleBossIn_Text_005_d"
