Label,String
Dm_RT_0022_Text_000_b,"Dm_RT_0022_Text_000_b"
Dm_RT_0022_Text_001_b,"Dm_RT_0022_Text_001_b"
Dm_RT_0022_Text_002_b,"Dm_RT_0022_Text_002_b"
Dm_RT_0022_Text_003_b,"Dm_RT_0022_Text_003_b"
Dm_RT_0022_Text_004_b,"Dm_RT_0022_Text_004_b"
Dm_RT_0022_Text_005_b,"Dm_RT_0022_Text_005_b"
Dm_RT_0022_Text_006_b,"Dm_RT_0022_Text_006_b"
Dm_RT_0022_Text_007_b,"Dm_RT_0022_Text_007_b"
Dm_RT_0022_Text_004_c,"Dm_RT_0022_Text_004_c"
Dm_RT_0022_Text_009_c,"Dm_RT_0022_Text_009_c"
Dm_RT_0022_Text_004_d,"Dm_RT_0022_Text_004_d"
Dm_RT_0022_Text_010_b,"Dm_RT_0022_Text_010_b"
Dm_RT_0022_Text_011_b,"Dm_RT_0022_Text_011_b"
Dm_RT_0022_Text_016_b,"Dm_RT_0022_Text_016_b"
Dm_RT_0022_Text_019_b,"Dm_RT_0022_Text_019_b"
Dm_RT_0022_Text_020_b,"Dm_RT_0022_Text_020_b"
Dm_RT_0022_Text_021_b,"Dm_RT_0022_Text_021_b"
Dm_RT_0022_Text_022_b,"Dm_RT_0022_Text_022_b"
Dm_RT_0022_Text_013_c,"Dm_RT_0022_Text_013_c"
Dm_RT_0022_Text_014_c,"Dm_RT_0022_Text_014_c"
Dm_RT_0022_Text_017_c,"Dm_RT_0022_Text_017_c"
Dm_RT_0022_Text_018_c,"Dm_RT_0022_Text_018_c"
Dm_RT_0022_Text_014_d,"Dm_RT_0022_Text_014_d"
Dm_RT_0022_Text_014_e,"Dm_RT_0022_Text_014_e"
