Label,String
Comment_10,"Comment_10"
Comment_04,"Comment_04"
Comment_06,"Comment_06"
Comment_07,"Comment_07"
Comment_08,"Comment_08"
Greeting_01,"Greeting_01"
Comment_09,"Comment_09"
Greeting_02,"Greeting_02"
Comment_Patient_00,"Comment_Patient_00"
Balloon_00,"Balloon_00"
Comment_00,"Comment_00"
Balloon_01,"Balloon_01"
Comment_Patient_02,"Comment_Patient_02"
Comment_01,"Comment_01"
0000,"0000"
Comment_Patient_03,"Comment_Patient_03"
Balloon_Patient_00,"Balloon_Patient_00"
0001,"0001"
Comment_02,"Comment_02"
0002,"0002"
Comment_03,"Comment_03"
