Label,String
Talk14,"Talk14"
Talk15,"Talk15"
Talk44,"Talk44"
Talk45,"Talk45"
Talk17,"Talk17"
Talk46,"Talk46"
Talk18,"Talk18"
Talk19,"Talk19"
Talk48,"Talk48"
Talk49,"Talk49"
Talk20,"Talk20"
Talk50,"Talk50"
Talk51,"Talk51"
Talk22,"Talk22"
Talk23,"Talk23"
Talk52,"Talk52"
Talk24,"Talk24"
Talk25,"Talk25"
Talk26,"Talk26"
Talk27,"Talk27"
Talk29,"Talk29"
Talk58,"Talk58"
Talk01,"Talk01"
0001,"0001"
0002,"0002"
Talk02,"Talk02"
Talk31,"Talk31"
Talk03,"Talk03"
0003,"0003"
Talk32,"Talk32"
Talk04,"Talk04"
Talk33,"Talk33"
0004,"0004"
Talk05,"Talk05"
0005,"0005"
Talk34,"Talk34"
Talk06,"Talk06"
Talk35,"Talk35"
Talk07,"Talk07"
0007,"0007"
0008,"0008"
Talk08,"Talk08"
Talk37,"Talk37"
Talk09,"Talk09"
Talk67,"Talk67"
0009,"0009"
Talk39,"Talk39"
0010,"0010"
Talk40,"Talk40"
0011,"0011"
Talk41,"Talk41"
0012,"0012"
Talk12,"Talk12"
Talk42,"Talk42"
Talk13,"Talk13"
