Label,String
Talk_57,"Talk_57"
Talk_63,"Talk_63"
Talk_64,"Talk_64"
Talk_58,"Talk_58"
Talk_70,"Talk_70"
Talk_59,"Talk_59"
Talk_65,"Talk_65"
Talk_71,"Talk_71"
Talk_72,"Talk_72"
Talk_66,"Talk_66"
Talk_67,"Talk_67"
Talk_73,"Talk_73"
near_00,"near_00"
Talk_74,"Talk_74"
Talk_68,"Talk_68"
Talk_80,"Talk_80"
near_01,"near_01"
Talk_75,"Talk_75"
Talk_69,"Talk_69"
Talk_81,"Talk_81"
Talk_76,"Talk_76"
Talk_82,"Talk_82"
Talk_77,"Talk_77"
Talk_83,"Talk_83"
Talk_78,"Talk_78"
Talk_84,"Talk_84"
Talk_79,"Talk_79"
Talk_85,"Talk_85"
Talk_86,"Talk_86"
0000,"0000"
0001,"0001"
0002,"0002"
Talk_03,"Talk_03"
Talk_10,"Talk_10"
0003,"0003"
Talk_04,"Talk_04"
Talk_11,"Talk_11"
0010,"0010"
Talk_05,"Talk_05"
0004,"0004"
Talk_12,"Talk_12"
0011,"0011"
Talk_06,"Talk_06"
0005,"0005"
Talk_13,"Talk_13"
0012,"0012"
0006,"0006"
Talk_07,"Talk_07"
Talk_08,"Talk_08"
0007,"0007"
Talk_20,"Talk_20"
0013,"0013"
Talk_14,"Talk_14"
0008,"0008"
Talk_09,"Talk_09"
Talk_15,"Talk_15"
Talk_21,"Talk_21"
0014,"0014"
0009,"0009"
Talk_16,"Talk_16"
Talk_22,"Talk_22"
Talk_23,"Talk_23"
Talk_17,"Talk_17"
Talk_18,"Talk_18"
Talk_30,"Talk_30"
Talk_24,"Talk_24"
Talk_19,"Talk_19"
Talk_25,"Talk_25"
Talk_32,"Talk_32"
Talk_26,"Talk_26"
Talk_33,"Talk_33"
Talk_27,"Talk_27"
Talk_28,"Talk_28"
Talk_34,"Talk_34"
Talk_40,"Talk_40"
Talk_29,"Talk_29"
Talk_35,"Talk_35"
Talk_41,"Talk_41"
Talk_36,"Talk_36"
Talk_42,"Talk_42"
Talk_37,"Talk_37"
Talk_43,"Talk_43"
Talk_38,"Talk_38"
Talk_44,"Talk_44"
Talk_50,"Talk_50"
Talk_39,"Talk_39"
Talk_51,"Talk_51"
Talk_45,"Talk_45"
Talk_52,"Talk_52"
Talk_46,"Talk_46"
Talk_53,"Talk_53"
Talk_47,"Talk_47"
Talk_54,"Talk_54"
Talk_48,"Talk_48"
Talk_60,"Talk_60"
Talk_55,"Talk_55"
Talk_49,"Talk_49"
Talk_61,"Talk_61"
Talk_56,"Talk_56"
Talk_62,"Talk_62"
