Label,String
Talk_025,"Talk_025"
Talk1010,"Talk1010"
Talk1012,"Talk1012"
Talk1013,"Talk1013"
Talk1030,"Talk1030"
PosterMessage_Eldin,"PosterMessage_Eldin"
Talk1014,"Talk1014"
Talk1031,"Talk1031"
Talk1032,"Talk1032"
Near1010,"Near1010"
Talk1015,"Talk1015"
Talk1050,"Talk1050"
Near1011,"Near1011"
Talk1033,"Talk1033"
Talk1016,"Talk1016"
Talk1051,"Talk1051"
Near1012,"Near1012"
Talk1034,"Talk1034"
Talk1017,"Talk1017"
Talk1052,"Talk1052"
Near1013,"Near1013"
Talk1035,"Talk1035"
Talk1018,"Talk1018"
Talk1019,"Talk1019"
Talk1053,"Talk1053"
Near1014,"Near1014"
Talk1036,"Talk1036"
Talk1054,"Talk1054"
Near1015,"Near1015"
Talk1037,"Talk1037"
Talk1038,"Talk1038"
Talk1056,"Talk1056"
Near1017,"Near1017"
Talk1039,"Talk1039"
Talk1057,"Talk1057"
Near1018,"Near1018"
Near1019,"Near1019"
Talk1058,"Talk1058"
Talk1059,"Talk1059"
Near2000,"Near2000"
Talk1001,"Talk1001"
Talk1002,"Talk1002"
Talk1020,"Talk1020"
Talk1021,"Talk1021"
Talk1004,"Talk1004"
Talk1022,"Talk1022"
Near1001,"Near1001"
Talk1023,"Talk1023"
Talk1040,"Talk1040"
Talk1007,"Talk1007"
Talk1024,"Talk1024"
Near1020,"Near1020"
Talk1042,"Talk1042"
Talk1008,"Talk1008"
Talk1025,"Talk1025"
Talk1060,"Talk1060"
Talk1009,"Talk1009"
Talk1043,"Talk1043"
Talk1026,"Talk1026"
Talk1044,"Talk1044"
Talk1061,"Talk1061"
Talk1027,"Talk1027"
Near1006,"Near1006"
Talk1045,"Talk1045"
Talk1062,"Talk1062"
Talk1028,"Talk1028"
Near1007,"Near1007"
Talk1029,"Talk1029"
Talk1046,"Talk1046"
Near1008,"Near1008"
Talk1047,"Talk1047"
Talk_022,"Talk_022"
Talk1048,"Talk1048"
Near1009,"Near1009"
Talk_023,"Talk_023"
Talk_024,"Talk_024"
Talk1049,"Talk1049"
