Label,String
StartPoint_01,"StartPoint_01"
GoalPoint_01,"GoalPoint_01"
SavedLv2_00,"SavedLv2_00"
RestPoint_01_2,"RestPoint_01_2"
SavedLv2_01,"SavedLv2_01"
Kakariko_00,"Kakariko_00"
Kakariko_01,"Kakariko_01"
GoalPoint_01b,"GoalPoint_01b"
RestPoint_01,"RestPoint_01"
GoRange_01_2,"GoRange_01_2"
Near_RestPoint_01,"Near_RestPoint_01"
Kakariko_02,"Kakariko_02"
Greeting_00,"Greeting_00"
Kakariko_03,"Kakariko_03"
GoalPoint_01_3,"GoalPoint_01_3"
Greeting_01,"Greeting_01"
Greeting_02,"Greeting_02"
Atacked00,"Atacked00"
BackRange_02_2,"BackRange_02_2"
Atacked01,"Atacked01"
StartPoint_01_2,"StartPoint_01_2"
Guardian00,"Guardian00"
Near_GoalPoint_01,"Near_GoalPoint_01"
Failed00,"Failed00"
SavedLv3_00,"SavedLv3_00"
Failed01,"Failed01"
Thanks00,"Thanks00"
SavedLv1_00,"SavedLv1_00"
SavedLv3_01,"SavedLv3_01"
GoRange_02_2,"GoRange_02_2"
SavedLv1_01,"SavedLv1_01"
GoRange_02_3,"GoRange_02_3"
Near_Rain,"Near_Rain"
Near_GoRange_01,"Near_GoRange_01"
GoRange_01,"GoRange_01"
Near_GoRange_02,"Near_GoRange_02"
RainPoint_01_2,"RainPoint_01_2"
GoRange_02,"GoRange_02"
RainPoint_01,"RainPoint_01"
Near_RainPoint_01,"Near_RainPoint_01"
EnokidaSignboard,"EnokidaSignboard"
BackRange_01_2,"BackRange_01_2"
Near_StartPoint_01,"Near_StartPoint_01"
BackRange_01,"BackRange_01"
Near_Thunder,"Near_Thunder"
Near_BackRange_01,"Near_BackRange_01"
Greeting,"Greeting"
BackRange_02,"BackRange_02"
