Label,String
Talk_2112,"Talk_2112"
Talk_1018,"Talk_1018"
Talk_2100,"Talk_2100"
LargeHorse,"LargeHorse"
GoldHorse,"GoldHorse"
Talk_1019,"Talk_1019"
Talk_2101,"Talk_2101"
0010,"0010"
0011,"0011"
Near_100,"Near_100"
Near_101,"Near_101"
Near_02,"Near_02"
0001,"0001"
Near_03,"Near_03"
Near_04,"Near_04"
Talk_2010,"Talk_2010"
Talk_1020,"Talk_1020"
Talk_2011,"Talk_2011"
Talk_1021,"Talk_1021"
Talk_2012,"Talk_2012"
Talk_1022,"Talk_1022"
Talk_2000,"Talk_2000"
0006,"0006"
Talk_2013,"Talk_2013"
Talk_1023,"Talk_1023"
Talk_1010,"Talk_1010"
Talk_2001,"Talk_2001"
0007,"0007"
Talk_2014,"Talk_2014"
Talk_1024,"Talk_1024"
Talk_1011,"Talk_1011"
Talk_2002,"Talk_2002"
Talk_2015,"Talk_2015"
0008,"0008"
BoneHorse,"BoneHorse"
Talk_1012,"Talk_1012"
Talk_2016,"Talk_2016"
0009,"0009"
Talk_1013,"Talk_1013"
Talk_2017,"Talk_2017"
Talk_1014,"Talk_1014"
WakkaCharm,"WakkaCharm"
Talk_1015,"Talk_1015"
Talk_1016,"Talk_1016"
Talk_2111,"Talk_2111"
