Label,String
talk0000,"talk0000"
talk0010,"talk0010"
talk0020,"talk0020"
talk0001,"talk0001"
talk0011,"talk0011"
talk0021,"talk0021"
talk0002,"talk0002"
talk0012,"talk0012"
talk0003,"talk0003"
talk0013,"talk0013"
talk0004,"talk0004"
talk0014,"talk0014"
ThunderHelmet,"ThunderHelmet"
talk0005,"talk0005"
talk0015,"talk0015"
talk0006,"talk0006"
talk0016,"talk0016"
talk0007,"talk0007"
talk0017,"talk0017"
talk0008,"talk0008"
talk0018,"talk0018"
near0000,"near0000"
talk0009,"talk0009"
talk0019,"talk0019"
near0001,"near0001"
