Label,String
GoalPoint_01,"GoalPoint_01"
GoRange_01,"GoRange_01"
SavedLv3_01,"SavedLv3_01"
GoRange_02,"GoRange_02"
Near_StartPoint_01,"Near_StartPoint_01"
Thanks00,"Thanks00"
StartPoint_01,"StartPoint_01"
SavedLv1_00,"SavedLv1_00"
StartPoint_01_2,"StartPoint_01_2"
SavedLv1_01,"SavedLv1_01"
Hello,"Hello"
Atacked00,"Atacked00"
Atacked01,"Atacked01"
Near_GoBack,"Near_GoBack"
RainPoint_01_2,"RainPoint_01_2"
GoRange_01_2,"GoRange_01_2"
SavedLv2_00,"SavedLv2_00"
Failed00,"Failed00"
Hello_00,"Hello_00"
SavedLv2_01,"SavedLv2_01"
Failed01,"Failed01"
Hello_01,"Hello_01"
Near_Thunder,"Near_Thunder"
GoalPoint_01_2,"GoalPoint_01_2"
RainPoint_01,"RainPoint_01"
Near_RainPoint_01,"Near_RainPoint_01"
EnokidaSignboard,"EnokidaSignboard"
Near_Rain,"Near_Rain"
NakedPlayer,"NakedPlayer"
Near_GoalPoint_01,"Near_GoalPoint_01"
SavedLv3_00,"SavedLv3_00"
Guardian00,"Guardian00"
