Label,String
BackRange_01,"BackRange_01"
BackRange_02_2,"BackRange_02_2"
BackRange_02,"BackRange_02"
GoRange_01,"GoRange_01"
GoRange_02,"GoRange_02"
RainPoint_01_2,"RainPoint_01_2"
Near_RainPoint_01,"Near_RainPoint_01"
GerudoMorning_01,"GerudoMorning_01"
GerudoEvening_01,"GerudoEvening_01"
Guardian00,"Guardian00"
AssassinClothes,"AssassinClothes"
Near_GoalPoint_01,"Near_GoalPoint_01"
Near_BackRange_01,"Near_BackRange_01"
Near_BackRange_02,"Near_BackRange_02"
SavedLv3_00,"SavedLv3_00"
GoRange_02_2,"GoRange_02_2"
Near_Rain,"Near_Rain"
Near_GoRange_01,"Near_GoRange_01"
SavedLv3_01,"SavedLv3_01"
Near_GoRange_02,"Near_GoRange_02"
EnokidaSignboard,"EnokidaSignboard"
Thanks00,"Thanks00"
StartPoint_01,"StartPoint_01"
SavedLv2_00,"SavedLv2_00"
GoalPoint_01,"GoalPoint_01"
SavedLv2_01,"SavedLv2_01"
BackRange_01_2,"BackRange_01_2"
SavedLv1_00,"SavedLv1_00"
Failed00,"Failed00"
SavedLv1_01,"SavedLv1_01"
Failed01,"Failed01"
Atacked00,"Atacked00"
Near_StartPoint_01,"Near_StartPoint_01"
Atacked01,"Atacked01"
StartPoint_01_2,"StartPoint_01_2"
Near_Thunder,"Near_Thunder"
GerudoHello_01,"GerudoHello_01"
GoalPoint_01_2,"GoalPoint_01_2"
RainPoint_01,"RainPoint_01"
GoRange_01_2,"GoRange_01_2"
