Label,String
Talk_05,"Talk_05"
Talk_03_01,"Talk_03_01"
Talk_07,"Talk_07"
TerrorExplosion,"TerrorExplosion"
Comment_13,"Comment_13"
0000,"0000"
TerrorLightning,"TerrorLightning"
0001,"0001"
TerrorFire,"TerrorFire"
TerrorInsect,"TerrorInsect"
EndEvent_Npc_15_00,"EndEvent_Npc_15_00"
TerrorIce,"TerrorIce"
TerrorFlash,"TerrorFlash"
TerrorAnimal,"TerrorAnimal"
WaterPumpWater_00,"WaterPumpWater_00"
TerrorSword,"TerrorSword"
TerrorImpulse,"TerrorImpulse"
WaterPumpWater_01,"WaterPumpWater_01"
TerrorEnemy,"TerrorEnemy"
WaterPumpWater_02,"WaterPumpWater_02"
EndEvent_Npc_11,"EndEvent_Npc_11"
EndEvent_Npc_16_00_00,"EndEvent_Npc_16_00_00"
TerrorArrow,"TerrorArrow"
EndEvent_Npc_14,"EndEvent_Npc_14"
EndEvent_Npc_16_00_01,"EndEvent_Npc_16_00_01"
Talk_01,"Talk_01"
EndEvent_Npc_15,"EndEvent_Npc_15"
Talk_02,"Talk_02"
EndEvent_Npc_16,"EndEvent_Npc_16"
Talk_03,"Talk_03"
TerrorGeneric,"TerrorGeneric"
TerrorHorse,"TerrorHorse"
EndEvent_Npc_17,"EndEvent_Npc_17"
Talk_04,"Talk_04"
