Label,String
1002,"1002"
talk0014,"talk0014"
1003,"1003"
talk0002,"talk0002"
talk0015,"talk0015"
near0000,"near0000"
talk0003,"talk0003"
talk0016,"talk0016"
1004,"1004"
talk0017,"talk0017"
talk0004,"talk0004"
talk0018,"talk0018"
near0002,"near0002"
talk0019,"talk0019"
near0004,"near0004"
talk0030,"talk0030"
talk0008,"talk0008"
talk0009,"talk0009"
talk0032,"talk0032"
talk0020,"talk0020"
talk0033,"talk0033"
talk0034,"talk0034"
talk0035,"talk0035"
talk0023,"talk0023"
talk0010,"talk0010"
talk0036,"talk0036"
talk0000,"talk0000"
1001,"1001"
talk0013,"talk0013"
