Label,String
MinusYigaHint_0012,"MinusYigaHint_0012"
MinusYigaHint_0025,"MinusYigaHint_0025"
MinusYigaHint_0038,"MinusYigaHint_0038"
MinusYigaHint_0039,"MinusYigaHint_0039"
MinusYigaHint_0013,"MinusYigaHint_0013"
MinusYigaHint_0026,"MinusYigaHint_0026"
MinusYigaHint_0001,"MinusYigaHint_0001"
MinusYigaHint_0014,"MinusYigaHint_0014"
MinusYigaHint_0027,"MinusYigaHint_0027"
MinusYigaHint_0002,"MinusYigaHint_0002"
MinusYigaHint_0015,"MinusYigaHint_0015"
MinusYigaHint_0028,"MinusYigaHint_0028"
MinusYigaHint_0003,"MinusYigaHint_0003"
MinusYigaHint_0029,"MinusYigaHint_0029"
MinusYigaHint_0016,"MinusYigaHint_0016"
MinusYigaHint_0003_2,"MinusYigaHint_0003_2"
MinusYigaHint_0004,"MinusYigaHint_0004"
MinusYigaHint_0017,"MinusYigaHint_0017"
MinusYigaHint_0005,"MinusYigaHint_0005"
MinusYigaHint_0018,"MinusYigaHint_0018"
MinusYigaHint_0006,"MinusYigaHint_0006"
MinusYigaHint_0019,"MinusYigaHint_0019"
MinusYigaHint_0007,"MinusYigaHint_0007"
MinusYigaHint_0008,"MinusYigaHint_0008"
MinusYigaHint_0040,"MinusYigaHint_0040"
MinusYigaHint_0041,"MinusYigaHint_0041"
MinusYigaHint_0042,"MinusYigaHint_0042"
MinusYigaHint_0030,"MinusYigaHint_0030"
MinusYigaHint_0043,"MinusYigaHint_0043"
MinusYigaHint_0044,"MinusYigaHint_0044"
MinusYigaHint_0045,"MinusYigaHint_0045"
MinusYigaHint_0020,"MinusYigaHint_0020"
MinusYigaHint_0033,"MinusYigaHint_0033"
MinusYigaHint_0034,"MinusYigaHint_0034"
MinusYigaHint_0021,"MinusYigaHint_0021"
MinusYigaHint_0035,"MinusYigaHint_0035"
MinusYigaHint_0010,"MinusYigaHint_0010"
MinusYigaHint_0036,"MinusYigaHint_0036"
MinusYigaHint_0023,"MinusYigaHint_0023"
MinusYigaHint_0011,"MinusYigaHint_0011"
MinusYigaHint_0024,"MinusYigaHint_0024"
MinusYigaHint_0037,"MinusYigaHint_0037"
MinusYigaHint_0018_2,"MinusYigaHint_0018_2"
