Label,String
Pa_ShopInfo_00-Pa_HaveNum_00-T_Slash_00,"Pa_ShopInfo_00-Pa_HaveNum_00-T_Slash_00"
Pa_ShopPouchSlideList_00-Pa_Category_04-T_Text_00,"Pa_ShopPouchSlideList_00-Pa_Category_04-T_Text_00"
Effect,"Effect"
Orange,"Orange"
TotalNumText_Sell,"TotalNumText_Sell"
Pa_ShopInfo_00-Pa_Info_00-T_Plus_00,"Pa_ShopInfo_00-Pa_Info_00-T_Plus_00"
White,"White"
Pa_ShopPouchSlideList_00-Pa_SlideListSet_00-Pa_BtnElem_02-T_Kakeru_00,"Pa_ShopPouchSlideList_00-Pa_SlideListSet_00-Pa_BtnElem_02-T_Kakeru_00"
Pa_ShopInfo_00-Pa_Material_00-T_Slash_00,"Pa_ShopInfo_00-Pa_Material_00-T_Slash_00"
Pa_ShopPouchSlideList_00-Pa_SlideListSet_00-Pa_BtnElem_02-T_Kakeru_01,"Pa_ShopPouchSlideList_00-Pa_SlideListSet_00-Pa_BtnElem_02-T_Kakeru_01"
Pink,"Pink"
ParasailPatternChange,"ParasailPatternChange"
Pa_ShopPouchSlideList_00-Pa_Category_02-T_Text_00,"Pa_ShopPouchSlideList_00-Pa_Category_02-T_Text_00"
TotalNumText_Buy,"TotalNumText_Buy"
Mane,"Mane"
Pa_GuideRS_00-T_Icon_00,"Pa_GuideRS_00-T_Icon_00"
3000,"3000"
Black,"Black"
Pa_GuideRS_00-T_Icon_01,"Pa_GuideRS_00-T_Icon_01"
StockNum,"StockNum"
3001,"3001"
3002,"3002"
4000,"4000"
3003,"3003"
Pa_ShopInfo_00-T_Text_00,"Pa_ShopInfo_00-T_Text_00"
Pa_ShopPouchSlideList_00-Pa_SlideListSet_00-Pa_BtnElem_03-T_Kakeru_00,"Pa_ShopPouchSlideList_00-Pa_SlideListSet_00-Pa_BtnElem_03-T_Kakeru_00"
Pa_ShopPouchSlideList_00-Pa_Category_00-T_Text_00,"Pa_ShopPouchSlideList_00-Pa_Category_00-T_Text_00"
4001,"4001"
Pa_ShopInfo_00-T_Text_01,"Pa_ShopInfo_00-T_Text_01"
DressFairy,"DressFairy"
Pa_ShopPouchSlideList_00-Pa_SlideListSet_00-Pa_BtnElem_03-T_Kakeru_01,"Pa_ShopPouchSlideList_00-Pa_SlideListSet_00-Pa_BtnElem_03-T_Kakeru_01"
LightBlue,"LightBlue"
Use,"Use"
Brown,"Brown"
Crimson,"Crimson"
Pa_ShopPouchSlideList_00-Pa_Category_07-T_Text_00,"Pa_ShopPouchSlideList_00-Pa_Category_07-T_Text_00"
Pa_ShopInfo_00-Pa_Material_02-T_Slash_00,"Pa_ShopInfo_00-Pa_Material_02-T_Slash_00"
Saddle,"Saddle"
Navy,"Navy"
