Label,String
talk40,"talk40"
0010,"0010"
talk41,"talk41"
0011,"0011"
talk42,"talk42"
talk77,"talk77"
0012,"0012"
talk43,"talk43"
talk78,"talk78"
0013,"0013"
talk44,"talk44"
talk45,"talk45"
0015,"0015"
talk47,"talk47"
0017,"0017"
0018,"0018"
near00,"near00"
0019,"0019"
talk16,"talk16"
talk17,"talk17"
talk18,"talk18"
talk65,"talk65"
0000,"0000"
talk31,"talk31"
0001,"0001"
talk32,"talk32"
talk33,"talk33"
talk68,"talk68"
0003,"0003"
talk34,"talk34"
talk69,"talk69"
talk80,"talk80"
0004,"0004"
talk35,"talk35"
0005,"0005"
talk01,"talk01"
talk36,"talk36"
talk82,"talk82"
talk37,"talk37"
talk38,"talk38"
talk84,"talk84"
talk04,"talk04"
talk39,"talk39"
0009,"0009"
0020,"0020"
talk05,"talk05"
talk52,"talk52"
talk87,"talk87"
talk53,"talk53"
talk88,"talk88"
talk54,"talk54"
talk89,"talk89"
0024,"0024"
talk20,"talk20"
0025,"0025"
talk21,"talk21"
0026,"0026"
talk22,"talk22"
talk57,"talk57"
0027,"0027"
talk23,"talk23"
talk59,"talk59"
talk26,"talk26"
