Label,String
Talk_008,"Talk_008"
Talk_025,"Talk_025"
Talk_009,"Talk_009"
0000,"0000"
Talk_010,"Talk_010"
Talk_011,"Talk_011"
0001,"0001"
Talk_012,"Talk_012"
0002,"0002"
Near_001,"Near_001"
Talk_013,"Talk_013"
0003,"0003"
Near_002,"Near_002"
Talk_014,"Talk_014"
0004,"0004"
Talk_015,"Talk_015"
0005,"0005"
Near_003,"Near_003"
Talk_016,"Talk_016"
0006,"0006"
Talk_017,"Talk_017"
Talk_000,"Talk_000"
Talk_018,"Talk_018"
Talk_001,"Talk_001"
Talk_019,"Talk_019"
Talk_002,"Talk_002"
Talk_003,"Talk_003"
Talk_020,"Talk_020"
Talk_004,"Talk_004"
Talk_021,"Talk_021"
Talk_005,"Talk_005"
Talk_023,"Talk_023"
Talk_007,"Talk_007"
Talk_024,"Talk_024"
