Label,String
Near2001,"Near2001"
Talk_1081,"Talk_1081"
Talk_74,"Talk_74"
Talk_1082,"Talk_1082"
Near2002,"Near2002"
Talk_75,"Talk_75"
Talk_1083,"Talk_1083"
Near2003,"Near2003"
Talk_76,"Talk_76"
Talk_1084,"Talk_1084"
0018,"0018"
Near2004,"Near2004"
Talk_77,"Talk_77"
Talk_1085,"Talk_1085"
Talk_78,"Talk_78"
Near2005,"Near2005"
Talk_1086,"Talk_1086"
Talk_79,"Talk_79"
Talk_0001,"Talk_0001"
0020,"0020"
Talk_82,"Talk_82"
Talk_1073,"Talk_1073"
Talk_14,"Talk_14"
Talk_83,"Talk_83"
Talk_1005,"Talk_1005"
Talk_1074,"Talk_1074"
Talk_84,"Talk_84"
Talk_1075,"Talk_1075"
Talk_85,"Talk_85"
Talk_1076,"Talk_1076"
Talk_17,"Talk_17"
Talk_86,"Talk_86"
Talk_1077,"Talk_1077"
Talk_18,"Talk_18"
Talk_87,"Talk_87"
Talk_1078,"Talk_1078"
Talk_73,"Talk_73"
