Label,String
Talk_0008,"Talk_0008"
Talk_0009,"Talk_0009"
Talk_0039,"Talk_0039"
Near_0001,"Near_0001"
Talk_0011,"Talk_0011"
Talk_0040,"Talk_0040"
Talk_0012,"Talk_0012"
Talk_0041,"Talk_0041"
Talk_0042,"Talk_0042"
Near_0003,"Near_0003"
0020,"0020"
0021,"0021"
Talk_0044,"Talk_0044"
Talk_0015,"Talk_0015"
Talk_0045,"Talk_0045"
Talk_0046,"Talk_0046"
Talk_0017,"Talk_0017"
Talk_0018,"Talk_0018"
Talk_0047,"Talk_0047"
Talk_0048,"Talk_0048"
Talk_0019,"Talk_0019"
Talk_0049,"Talk_0049"
Talk_0020,"Talk_0020"
Talk_0050,"Talk_0050"
Talk_0021,"Talk_0021"
Talk_0022,"Talk_0022"
Talk_0023,"Talk_0023"
0030,"0030"
Talk_0024,"Talk_0024"
0031,"0031"
Talk_0025,"Talk_0025"
0003,"0003"
Talk_0026,"Talk_0026"
0004,"0004"
Talk_0027,"Talk_0027"
0005,"0005"
Talk_0028,"Talk_0028"
0006,"0006"
Talk_0029,"Talk_0029"
0007,"0007"
Talk_0030,"Talk_0030"
Talk_0031,"Talk_0031"
Talk_0032,"Talk_0032"
0010,"0010"
Talk_0033,"Talk_0033"
Talk_0005,"Talk_0005"
Talk_0034,"Talk_0034"
0011,"0011"
Talk_0035,"Talk_0035"
