Label,String
Talk_21,"Talk_21"
Talk_0015,"Talk_0015"
Near_0001,"Near_0001"
Talk_0016,"Talk_0016"
Talk_0017,"Talk_0017"
Talk_0018,"Talk_0018"
Talk_0019,"Talk_0019"
TerrorIce,"TerrorIce"
Com_Talk_13,"Com_Talk_13"
Com_Talk_14,"Com_Talk_14"
Talk_0002,"Talk_0002"
Com_Talk_15,"Com_Talk_15"
Talk_0003,"Talk_0003"
Com_Talk_16,"Com_Talk_16"
Talk_10,"Talk_10"
Talk_11,"Talk_11"
Talk_0005,"Talk_0005"
Talk_12,"Talk_12"
Talk_0006,"Talk_0006"
Talk_13,"Talk_13"
Talk_0007,"Talk_0007"
0001,"0001"
Talk_14,"Talk_14"
Talk_0008,"Talk_0008"
0002,"0002"
SagonoHat,"SagonoHat"
Talk_15,"Talk_15"
Talk_0020,"Talk_0020"
Talk_0009,"Talk_0009"
Com_Talk_33,"Com_Talk_33"
Talk_16,"Talk_16"
Talk_0021,"Talk_0021"
Com_Talk_05b,"Com_Talk_05b"
Talk_17,"Talk_17"
Talk_0022,"Talk_0022"
Com_Talk_00,"Com_Talk_00"
Com_Talk_05c,"Com_Talk_05c"
Com_Talk_35,"Com_Talk_35"
Talk_18,"Talk_18"
Talk_0023,"Talk_0023"
Com_Talk_01,"Com_Talk_01"
Com_Talk_05d,"Com_Talk_05d"
Talk_0024,"Talk_0024"
Com_Talk_02,"Com_Talk_02"
Com_Talk_02b,"Com_Talk_02b"
Com_Talk_04,"Com_Talk_04"
Com_Talk_50,"Com_Talk_50"
Com_Talk_02c,"Com_Talk_02c"
Com_Talk_05,"Com_Talk_05"
NakedPlayer,"NakedPlayer"
Com_Talk_02d,"Com_Talk_02d"
5500,"5500"
Com_Talk_53,"Com_Talk_53"
5501,"5501"
Com_Talk_54,"Com_Talk_54"
Com_Talk_55,"Com_Talk_55"
5503,"5503"
Talk_04,"Talk_04"
Talk_05,"Talk_05"
Talk_0010,"Talk_0010"
Talk_06,"Talk_06"
Talk_0011,"Talk_0011"
Talk_07,"Talk_07"
Talk_0012,"Talk_0012"
5508,"5508"
Talk_20,"Talk_20"
Talk_09,"Talk_09"
Talk_0014,"Talk_0014"
