Label,String
Com_Talk_14,"Com_Talk_14"
Com_Talk_00,"Com_Talk_00"
Com_Talk_15,"Com_Talk_15"
Com_Talk_01,"Com_Talk_01"
Com_Talk_16,"Com_Talk_16"
Com_Talk_02,"Com_Talk_02"
Com_Talk_04,"Com_Talk_04"
Com_Talk_05,"Com_Talk_05"
Com_Talk_06,"Com_Talk_06"
StartPoint_01_2,"StartPoint_01_2"
Com_Talk_07,"Com_Talk_07"
5500,"5500"
GoalPoint_01,"GoalPoint_01"
Com_Talk_08,"Com_Talk_08"
5501,"5501"
Atacked00,"Atacked00"
GoRange_01_2,"GoRange_01_2"
Com_Talk_09,"Com_Talk_09"
5502,"5502"
Atacked01,"Atacked01"
5503,"5503"
Guardian00,"Guardian00"
GoRange_03_2,"GoRange_03_2"
Near_Rain,"Near_Rain"
SavedLv1_00,"SavedLv1_00"
GoRange_01,"GoRange_01"
BackRange_01_2,"BackRange_01_2"
SavedLv1_01,"SavedLv1_01"
GoRange_02,"GoRange_02"
Near_BackRange_01,"Near_BackRange_01"
5507,"5507"
GoRange_03,"GoRange_03"
Near_BackRange_02,"Near_BackRange_02"
5508,"5508"
Near_BackRange_03,"Near_BackRange_03"
ShopGoodBye_01,"ShopGoodBye_01"
Com_Talk_05b,"Com_Talk_05b"
Com_Talk_05c,"Com_Talk_05c"
Com_Talk_05d,"Com_Talk_05d"
RainPoint_01,"RainPoint_01"
ShopGreet_00,"ShopGreet_00"
ShopGreet_01,"ShopGreet_01"
StartPoint_01,"StartPoint_01"
Greeting_00,"Greeting_00"
Greeting_01,"Greeting_01"
Greeting_02,"Greeting_02"
Thanks00,"Thanks00"
Greeting_03,"Greeting_03"
BackRange_03_02,"BackRange_03_02"
Near_GoRange_01,"Near_GoRange_01"
0001,"0001"
SavedLv2_00,"SavedLv2_00"
Near_GoRange_02,"Near_GoRange_02"
0002,"0002"
SavedLv2_01,"SavedLv2_01"
Near_GoRange_03,"Near_GoRange_03"
0003,"0003"
Near_Thunder,"Near_Thunder"
Near_GoalPoint_01,"Near_GoalPoint_01"
Com_Talk_30,"Com_Talk_30"
Com_Talk_31,"Com_Talk_31"
GoRange_02_2,"GoRange_02_2"
Com_Talk_02b,"Com_Talk_02b"
Com_Talk_11_b,"Com_Talk_11_b"
Com_Talk_32,"Com_Talk_32"
Com_Talk_02c,"Com_Talk_02c"
Com_Talk_11_c,"Com_Talk_11_c"
Com_Talk_33,"Com_Talk_33"
Near_StartPoint_01,"Near_StartPoint_01"
Com_Talk_02d,"Com_Talk_02d"
Com_Talk_11_d,"Com_Talk_11_d"
Com_Talk_34,"Com_Talk_34"
GoalPoint_01_2,"GoalPoint_01_2"
Com_Talk_20,"Com_Talk_20"
Com_Talk_35,"Com_Talk_35"
EnokidaSignboard,"EnokidaSignboard"
BackRange_02_2,"BackRange_02_2"
Com_Talk_36,"Com_Talk_36"
Com_Talk_37,"Com_Talk_37"
ShopTalk_01,"ShopTalk_01"
Near_RainPoint_01,"Near_RainPoint_01"
ShopGreet_01_2,"ShopGreet_01_2"
BackRange_01,"BackRange_01"
ShopGreet_01_3,"ShopGreet_01_3"
Com_Talk_10,"Com_Talk_10"
BackRange_02,"BackRange_02"
Com_Talk_11,"Com_Talk_11"
RainPoint_01_2,"RainPoint_01_2"
BackRange_03,"BackRange_03"
Com_Talk_12,"Com_Talk_12"
SavedLv3_00,"SavedLv3_00"
Com_Talk_13,"Com_Talk_13"
SavedLv3_01,"SavedLv3_01"
