Label,String
Talk_07,"Talk_07"
Near_03,"Near_03"
Talk_1130,"Talk_1130"
Talk_09,"Talk_09"
Talk_1120,"Talk_1120"
Talk_20,"Talk_20"
Talk_21,"Talk_21"
Talk_10,"Talk_10"
Talk_1110,"Talk_1110"
Talk_11,"Talk_11"
Talk_1111,"Talk_1111"
0000,"0000"
Talk_12,"Talk_12"
Talk_00,"Talk_00"
Talk_13,"Talk_13"
Talk_1100,"Talk_1100"
Talk_01,"Talk_01"
Talk_02,"Talk_02"
Talk_15,"Talk_15"
Talk_16,"Talk_16"
Talk_17,"Talk_17"
Near_00,"Near_00"
0006,"0006"
Talk_05,"Talk_05"
Near_01,"Near_01"
Talk_18,"Talk_18"
Talk_06,"Talk_06"
Talk_19,"Talk_19"
Near_02,"Near_02"
