Label,String
Talk_0006,"Talk_0006"
Talk_0019,"Talk_0019"
Talk_0007,"Talk_0007"
Talk_0008,"Talk_0008"
Near_0002,"Near_0002"
Talk_0009,"Talk_0009"
Near_0003,"Near_0003"
Talk_0020,"Talk_0020"
Near_0005,"Near_0005"
Talk_0021,"Talk_0021"
Near_0006,"Near_0006"
Talk_0023,"Talk_0023"
Talk_0010,"Talk_0010"
Near_0007,"Near_0007"
0000,"0000"
Talk_0011,"Talk_0011"
0001,"0001"
Talk_0012,"Talk_0012"
0002,"0002"
Talk_0013,"Talk_0013"
Talk_0014,"Talk_0014"
0003,"0003"
Talk_0015,"Talk_0015"
0004,"0004"
Talk_0016,"Talk_0016"
Talk_0017,"Talk_0017"
TerrorIce_02,"TerrorIce_02"
Talk_0018,"Talk_0018"
