Label,String
Talk201,"Talk201"
TerrorEnemy,"TerrorEnemy"
0000,"0000"
TerrorArrow,"TerrorArrow"
0001,"0001"
Talk205,"Talk205"
Talk222,"Talk222"
0002,"0002"
Talk206,"Talk206"
Talk223,"Talk223"
0003,"0003"
Talk10,"Talk10"
Talk207,"Talk207"
0004,"0004"
Talk11,"Talk11"
Talk208,"Talk208"
Talk225,"Talk225"
0005,"0005"
Talk12,"Talk12"
Talk101,"Talk101"
Talk209,"Talk209"
Talk226,"Talk226"
0006,"0006"
Talk13,"Talk13"
Talk102,"Talk102"
Talk227,"Talk227"
TerrorImpulse,"TerrorImpulse"
0007,"0007"
Talk14,"Talk14"
Talk15,"Talk15"
Talk16,"Talk16"
Talk06_01,"Talk06_01"
Talk34,"Talk34"
TerrorFlash,"TerrorFlash"
Near00,"Near00"
TerrorGeneric,"TerrorGeneric"
TerrorInsect,"TerrorInsect"
Near01,"Near01"
ClearTerrorEnemy,"ClearTerrorEnemy"
Near02,"Near02"
TerrorHorse,"TerrorHorse"
Near03,"Near03"
Talk181,"Talk181"
Near04,"Near04"
Near05,"Near05"
TerrorIce,"TerrorIce"
Talk183,"Talk183"
TerrorAnimal,"TerrorAnimal"
Talk212,"Talk212"
Talk213,"Talk213"
Talk225_01,"Talk225_01"
Talk00,"Talk00"
Talk186,"Talk186"
Talk214,"Talk214"
Talk225_02,"Talk225_02"
TerrorLightning,"TerrorLightning"
Talk01,"Talk01"
Talk187,"Talk187"
Talk215,"Talk215"
0011,"0011"
Talk02,"Talk02"
Talk216,"Talk216"
0012,"0012"
TerrorFire,"TerrorFire"
Talk03,"Talk03"
Talk217,"Talk217"
0013,"0013"
TerrorExplosion,"TerrorExplosion"
Talk04,"Talk04"
Talk218,"Talk218"
Talk05,"Talk05"
Talk219,"Talk219"
Talk06,"Talk06"
NakedPlayer,"NakedPlayer"
Talk07,"Talk07"
TerrorSword,"TerrorSword"
Talk08,"Talk08"
Talk207_01,"Talk207_01"
Talk09,"Talk09"
Talk00_00,"Talk00_00"
Talk00_01,"Talk00_01"
