Label,String
Talk_0013,"Talk_0013"
Talk_0014,"Talk_0014"
StableHostelPicture,"StableHostelPicture"
Talk_0015,"Talk_0015"
Near_0001,"Near_0001"
0000,"0000"
Talk_0016,"Talk_0016"
Talk_0017,"Talk_0017"
Near_0002,"Near_0002"
0001,"0001"
Near_0003,"Near_0003"
0002,"0002"
Talk_0018,"Talk_0018"
Near_0004,"Near_0004"
Talk_0001,"Talk_0001"
Talk_0019,"Talk_0019"
Near_0005,"Near_0005"
Talk_0002,"Talk_0002"
GoldHorse,"GoldHorse"
Talk_0003,"Talk_0003"
Talk_0020,"Talk_0020"
Near_0006,"Near_0006"
Talk_0004,"Talk_0004"
Talk_0021,"Talk_0021"
Talk_0022,"Talk_0022"
Talk_0005,"Talk_0005"
Talk_0006,"Talk_0006"
LargeHorse,"LargeHorse"
Talk_0007,"Talk_0007"
Talk_0008,"Talk_0008"
WakkaCharm,"WakkaCharm"
Talk_0009,"Talk_0009"
Talk_0010,"Talk_0010"
Talk_0011,"Talk_0011"
BoneHorse,"BoneHorse"
Talk_0012,"Talk_0012"
