Label,String
Talk2016,"Talk2016"
Talk_17,"Talk_17"
Talk2017,"Talk2017"
Talk_18,"Talk_18"
Talk_19,"Talk_19"
Talk1010,"Talk1010"
Talk1011,"Talk1011"
Talk1012,"Talk1012"
Talk1013,"Talk1013"
Talk1014,"Talk1014"
Talk1015,"Talk1015"
Talk1016,"Talk1016"
Talk1017,"Talk1017"
Talk_01,"Talk_01"
Talk1018,"Talk1018"
Balloon2001,"Balloon2001"
Talk2001,"Talk2001"
Talk_02,"Talk_02"
Talk1019,"Talk1019"
Talk2002,"Talk2002"
Talk_20,"Talk_20"
Talk_03,"Talk_03"
Talk4011,"Talk4011"
Talk_04,"Talk_04"
Talk_21,"Talk_21"
Talk4012,"Talk4012"
Near_01,"Near_01"
Talk_05,"Talk_05"
Talk_22,"Talk_22"
Talk2005,"Talk2005"
Near_02,"Near_02"
Talk_06,"Talk_06"
Talk_23,"Talk_23"
Talk2006,"Talk2006"
Near_03,"Near_03"
Talk_24,"Talk_24"
Talk2007,"Talk2007"
Near_04,"Near_04"
Talk_25,"Talk_25"
Talk2008,"Talk2008"
Near_05,"Near_05"
Talk_09,"Talk_09"
Near_06,"Near_06"
Balloon1001,"Balloon1001"
Talk2009,"Talk2009"
Near_07,"Near_07"
Near_08,"Near_08"
Talk1020,"Talk1020"
Talk1021,"Talk1021"
Talk1022,"Talk1022"
Talk1005,"Talk1005"
Talk1023,"Talk1023"
Talk1007,"Talk1007"
Talk1024,"Talk1024"
Talk1008,"Talk1008"
Talk1009,"Talk1009"
Talk_10,"Talk_10"
Talk4001,"Talk4001"
Talk2010,"Talk2010"
Talk_11,"Talk_11"
Talk4002,"Talk4002"
Talk2011,"Talk2011"
Talk_12,"Talk_12"
Talk4003,"Talk4003"
Talk2012,"Talk2012"
Talk_13,"Talk_13"
Talk4004,"Talk4004"
Talk2013,"Talk2013"
Talk_14,"Talk_14"
Talk4005,"Talk4005"
Talk2014,"Talk2014"
Talk_15,"Talk_15"
Talk4006,"Talk4006"
Talk2015,"Talk2015"
