Label,String
Talk_1004,"Talk_1004"
Talk_0013,"Talk_0013"
Talk_0026,"Talk_0026"
Talk_1005,"Talk_1005"
Talk_0001,"Talk_0001"
Talk_0014,"Talk_0014"
Talk_0027,"Talk_0027"
Talk_1006,"Talk_1006"
Talk_0015,"Talk_0015"
Talk_0002,"Talk_0002"
Talk_0028,"Talk_0028"
Talk_1007,"Talk_1007"
Talk_0016,"Talk_0016"
Talk_0003,"Talk_0003"
Talk_0029,"Talk_0029"
Talk_1008,"Talk_1008"
Talk_0017,"Talk_0017"
Talk_0004,"Talk_0004"
Talk_1009,"Talk_1009"
Talk_0018,"Talk_0018"
Talk_0005,"Talk_0005"
Talk_0006,"Talk_0006"
Talk_0019,"Talk_0019"
Talk_0007,"Talk_0007"
Talk_0008,"Talk_0008"
Talk_0009,"Talk_0009"
Talk_0030,"Talk_0030"
Talk_0031,"Talk_0031"
Talk_1010,"Talk_1010"
Talk_1011,"Talk_1011"
Talk_0020,"Talk_0020"
Talk_0021,"Talk_0021"
Talk_1000,"Talk_1000"
Talk_0022,"Talk_0022"
Balloon_01,"Balloon_01"
Talk_1001,"Talk_1001"
Talk_0010,"Talk_0010"
Talk_0023,"Talk_0023"
Talk_1002,"Talk_1002"
Talk_0011,"Talk_0011"
Talk_0024,"Talk_0024"
Talk_0012,"Talk_0012"
Talk_0025,"Talk_0025"
