Label,String
Talk_0211,"Talk_0211"
Talk_0010,"Talk_0010"
Near_0001,"Near_0001"
Near_0002,"Near_0002"
Near_0003,"Near_0003"
Talk_0101,"Talk_0101"
Talk_0102,"Talk_0102"
Talk_0103,"Talk_0103"
Talk_0104,"Talk_0104"
Talk_0220,"Talk_0220"
Talk_0221,"Talk_0221"
Talk_0105,"Talk_0105"
Talk_0222,"Talk_0222"
Talk_0106,"Talk_0106"
Talk_0223,"Talk_0223"
Near_0010,"Near_0010"
Talk_0107,"Talk_0107"
Talk_0224,"Talk_0224"
Near_0011,"Near_0011"
Near_0012,"Near_0012"
Talk_0109,"Talk_0109"
Talk_0225,"Talk_0225"
Near_0013,"Near_0013"
Talk_0226,"Talk_0226"
0001,"0001"
Talk_0111,"Talk_0111"
Talk_0112,"Talk_0112"
0003,"0003"
Talk_0200,"Talk_0200"
Talk_0114,"Talk_0114"
0004,"0004"
Talk_0201,"Talk_0201"
Talk_0115,"Talk_0115"
0005,"0005"
Talk_0202,"Talk_0202"
Talk_0203,"Talk_0203"
Talk_0116,"Talk_0116"
Talk_0001,"Talk_0001"
Talk_0030,"Talk_0030"
Talk_0204,"Talk_0204"
Talk_0002,"Talk_0002"
Talk_0118,"Talk_0118"
Talk_0205,"Talk_0205"
Talk_0032,"Talk_0032"
Talk_0119,"Talk_0119"
Talk_0206,"Talk_0206"
Talk_0033,"Talk_0033"
Talk_0207,"Talk_0207"
Talk_0120,"Talk_0120"
Talk_0034,"Talk_0034"
Talk_0122,"Talk_0122"
Talk_0123,"Talk_0123"
Talk_0210,"Talk_0210"
