Label,String
talk0030,"talk0030"
talk0013,"talk0013"
talk0031,"talk0031"
talk0014,"talk0014"
talk0032,"talk0032"
talk0015,"talk0015"
talk0016,"talk0016"
talk0017,"talk0017"
talk0000,"talk0000"
0002,"0002"
talk0018,"talk0018"
talk0001,"talk0001"
talk0019,"talk0019"
talk0002,"talk0002"
0004,"0004"
talk0003,"talk0003"
0005,"0005"
talk0020,"talk0020"
talk0004,"talk0004"
0006,"0006"
talk0021,"talk0021"
talk0005,"talk0005"
0007,"0007"
talk0006,"talk0006"
0008,"0008"
near0000,"near0000"
talk0007,"talk0007"
talk0024,"talk0024"
talk0008,"talk0008"
talk0009,"talk0009"
talk0027,"talk0027"
talk0010,"talk0010"
talk0029,"talk0029"
talk0011,"talk0011"
talk0012,"talk0012"
