Label,String
talk0013,"talk0013"
talk0014,"talk0014"
near0008,"near0008"
talk0032,"talk0032"
talk0015,"talk0015"
near0009,"near0009"
talk0033,"talk0033"
talk0016,"talk0016"
talk0034,"talk0034"
talk0017,"talk0017"
talk0000,"talk0000"
talk0035,"talk0035"
talk0018,"talk0018"
0020,"0020"
talk0036,"talk0036"
talk0019,"talk0019"
talk0037,"talk0037"
0021,"0021"
0022,"0022"
talk0003,"talk0003"
talk0020,"talk0020"
0023,"0023"
talk0004,"talk0004"
talk0005,"talk0005"
talk0040,"talk0040"
near0000,"near0000"
talk0025,"talk0025"
near0001,"near0001"
talk0009,"talk0009"
near0002,"near0002"
talk0026,"talk0026"
talk0027,"talk0027"
talk0010,"talk0010"
talk0011,"talk0011"
talk0012,"talk0012"
near0006,"near0006"
