Label,String
Talk_0007,"Talk_0007"
Talk_1001,"Talk_1001"
TerrorHorse,"TerrorHorse"
Talk_1002,"Talk_1002"
TerrorLightning,"TerrorLightning"
Talk_1003,"Talk_1003"
Talk_1004,"Talk_1004"
Talk_1005,"Talk_1005"
TerrorArrow,"TerrorArrow"
Talk_1006,"Talk_1006"
TerrorFire,"TerrorFire"
Talk_1007,"Talk_1007"
Near_1001,"Near_1001"
TerrorInsect,"TerrorInsect"
Talk_0012,"Talk_0012"
0001,"0001"
TerrorImpulse,"TerrorImpulse"
0002,"0002"
Talk_0013,"Talk_0013"
Talk_0014,"Talk_0014"
0003,"0003"
TerrorBomb,"TerrorBomb"
TerrorExplosion,"TerrorExplosion"
Talk_0015,"Talk_0015"
TerrorGeneric,"TerrorGeneric"
Talk_0016,"Talk_0016"
TerrorIce,"TerrorIce"
Talk_0017,"Talk_0017"
TerrorSword,"TerrorSword"
Talk_0018,"Talk_0018"
TerrorFlash,"TerrorFlash"
