Label,String
Talk1022,"Talk1022"
Talk1063,"Talk1063"
Talk1023,"Talk1023"
near0004,"near0004"
Talk1024,"Talk1024"
near0005,"near0005"
Talk1025,"Talk1025"
near0006,"near0006"
Talk1026,"Talk1026"
Talk1027,"Talk1027"
Talk1050,"Talk1050"
Talk1028,"Talk1028"
Talk1011,"Talk1011"
Talk1012,"Talk1012"
0000,"0000"
Talk1054,"Talk1054"
0001,"0001"
Talk1055,"Talk1055"
0002,"0002"
Talk1015,"Talk1015"
Talk1056,"Talk1056"
0003,"0003"
Talk1016,"Talk1016"
Talk1057,"Talk1057"
Talk1040,"Talk1040"
Talk1017,"Talk1017"
Talk1058,"Talk1058"
Talk1041,"Talk1041"
Talk1018,"Talk1018"
Talk1059,"Talk1059"
Talk1042,"Talk1042"
Talk1001,"Talk1001"
Talk1019,"Talk1019"
Talk1043,"Talk1043"
Talk1002,"Talk1002"
Talk1003,"Talk1003"
Talk1044,"Talk1044"
Talk1045,"Talk1045"
Talk1004,"Talk1004"
Talk1046,"Talk1046"
Talk1005,"Talk1005"
Talk1047,"Talk1047"
Talk1006,"Talk1006"
Talk1007,"Talk1007"
Talk1049,"Talk1049"
Talk1032,"Talk1032"
Talk1034,"Talk1034"
Talk1035,"Talk1035"
Talk1037,"Talk1037"
Talk1060,"Talk1060"
Talk1038,"Talk1038"
Talk1061,"Talk1061"
Talk1020,"Talk1020"
near0001,"near0001"
Talk1062,"Talk1062"
Talk1039,"Talk1039"
Talk1021,"Talk1021"
near0002,"near0002"
