Label,String
Talk_0087,"Talk_0087"
Talk_0192,"Talk_0192"
Talk_0088,"Talk_0088"
Talk_0193,"Talk_0193"
Talk_0089,"Talk_0089"
Talk_0031,"Talk_0031"
Talk_0195,"Talk_0195"
Talk_0032,"Talk_0032"
Talk_0033,"Talk_0033"
Talk_0196,"Talk_0196"
Talk_0034,"Talk_0034"
Talk_0197,"Talk_0197"
Talk_0035,"Talk_0035"
Talk_0140,"Talk_0140"
Talk_0198,"Talk_0198"
Talk_0036,"Talk_0036"
Talk_0141,"Talk_0141"
Talk_0199,"Talk_0199"
Talk_0037,"Talk_0037"
Talk_0142,"Talk_0142"
Talk_0143,"Talk_0143"
Talk_0038,"Talk_0038"
Talk_0144,"Talk_0144"
Talk_0039,"Talk_0039"
Talk_0145,"Talk_0145"
Talk_0146,"Talk_0146"
Talk_0147,"Talk_0147"
Talk_0148,"Talk_0148"
Talk_0149,"Talk_0149"
Talk_0050,"Talk_0050"
Talk_0051,"Talk_0051"
Talk_0201,"Talk_0201"
Talk_0052,"Talk_0052"
Talk_0202,"Talk_0202"
Talk_0053,"Talk_0053"
Talk_0203,"Talk_0203"
Talk_0054,"Talk_0054"
Talk_0204,"Talk_0204"
Talk_0055,"Talk_0055"
Talk_0160,"Talk_0160"
Talk_0205,"Talk_0205"
Talk_0056,"Talk_0056"
Talk_0161,"Talk_0161"
Talk_0206,"Talk_0206"
Talk_0057,"Talk_0057"
Talk_0162,"Talk_0162"
Talk_0207,"Talk_0207"
Talk_0163,"Talk_0163"
Talk_0058,"Talk_0058"
Talk_0001,"Talk_0001"
0000,"0000"
Talk_0164,"Talk_0164"
Talk_0208,"Talk_0208"
Talk_0059,"Talk_0059"
Talk_0002,"Talk_0002"
0001,"0001"
Talk_0165,"Talk_0165"
Talk_0209,"Talk_0209"
Talk_0003,"Talk_0003"
0002,"0002"
Talk_0166,"Talk_0166"
0003,"0003"
Talk_0004,"Talk_0004"
Talk_0167,"Talk_0167"
0004,"0004"
Talk_0168,"Talk_0168"
Talk_0110,"Talk_0110"
0005,"0005"
Talk_0169,"Talk_0169"
Talk_0111,"Talk_0111"
Talk_0007,"Talk_0007"
0006,"0006"
0007,"0007"
Talk_0008,"Talk_0008"
Talk_0113,"Talk_0113"
Talk_0009,"Talk_0009"
Talk_0070,"Talk_0070"
0009,"0009"
Talk_0220,"Talk_0220"
Talk_0071,"Talk_0071"
Talk_0072,"Talk_0072"
Talk_0221,"Talk_0221"
Talk_0116,"Talk_0116"
Talk_0073,"Talk_0073"
Talk_0222,"Talk_0222"
Talk_0117,"Talk_0117"
Talk_0074,"Talk_0074"
Talk_0223,"Talk_0223"
Talk_0118,"Talk_0118"
Talk_0075,"Talk_0075"
Talk_0224,"Talk_0224"
Talk_0180,"Talk_0180"
Talk_0076,"Talk_0076"
Talk_0225,"Talk_0225"
Talk_0077,"Talk_0077"
Talk_0226,"Talk_0226"
Talk_0078,"Talk_0078"
Talk_0183,"Talk_0183"
Talk_0227,"Talk_0227"
0020,"0020"
Talk_0021,"Talk_0021"
Talk_0228,"Talk_0228"
Talk_0184,"Talk_0184"
0021,"0021"
Talk_0022,"Talk_0022"
Talk_0229,"Talk_0229"
Talk_0185,"Talk_0185"
Talk_0023,"Talk_0023"
0022,"0022"
Talk_0024,"Talk_0024"
0023,"0023"
Talk_0187,"Talk_0187"
Talk_0130,"Talk_0130"
Talk_0188,"Talk_0188"
Talk_0131,"Talk_0131"
Talk_0189,"Talk_0189"
Talk_0027,"Talk_0027"
Talk_0090,"Talk_0090"
Talk_0091,"Talk_0091"
Talk_0092,"Talk_0092"
Talk_0093,"Talk_0093"
Talk_0095,"Talk_0095"
Talk_0139,"Talk_0139"
Talk_0097,"Talk_0097"
Talk_0040,"Talk_0040"
Talk_0041,"Talk_0041"
Talk_0099,"Talk_0099"
Talk_0042,"Talk_0042"
Talk_0043,"Talk_0043"
Talk_0044,"Talk_0044"
Talk_0150,"Talk_0150"
Talk_0151,"Talk_0151"
Talk_0152,"Talk_0152"
Talk_0153,"Talk_0153"
Talk_0048,"Talk_0048"
Talk_0154,"Talk_0154"
Talk_0049,"Talk_0049"
Talk_0155,"Talk_0155"
Talk_0157,"Talk_0157"
Talk_0158,"Talk_0158"
Talk_0159,"Talk_0159"
Talk_0103,"Talk_0103"
Near_0001,"Near_0001"
Talk_0104,"Talk_0104"
Talk_0060,"Talk_0060"
Near_0002,"Near_0002"
Talk_0061,"Talk_0061"
Talk_0210,"Talk_0210"
Talk_0105,"Talk_0105"
Near_0003,"Near_0003"
Talk_0062,"Talk_0062"
Talk_0211,"Talk_0211"
Near_0004,"Near_0004"
Talk_0212,"Talk_0212"
Near_0005,"Near_0005"
Talk_0064,"Talk_0064"
Talk_0213,"Talk_0213"
Near_0006,"Near_0006"
Talk_0065,"Talk_0065"
Talk_0214,"Talk_0214"
Talk_0170,"Talk_0170"
Talk_0109,"Talk_0109"
Talk_0215,"Talk_0215"
Talk_0171,"Talk_0171"
Talk_0067,"Talk_0067"
Talk_0216,"Talk_0216"
Talk_0217,"Talk_0217"
Talk_0010,"Talk_0010"
Talk_0173,"Talk_0173"
0010,"0010"
Talk_0218,"Talk_0218"
Talk_0011,"Talk_0011"
Talk_0174,"Talk_0174"
0011,"0011"
Talk_0219,"Talk_0219"
Talk_0012,"Talk_0012"
Talk_0175,"Talk_0175"
Talk_0176,"Talk_0176"
Talk_0013,"Talk_0013"
0013,"0013"
Talk_0177,"Talk_0177"
Talk_0014,"Talk_0014"
0014,"0014"
Talk_0015,"Talk_0015"
Talk_0120,"Talk_0120"
Talk_0179,"Talk_0179"
Talk_0016,"Talk_0016"
Talk_0121,"Talk_0121"
Talk_0017,"Talk_0017"
Talk_0122,"Talk_0122"
Talk_0018,"Talk_0018"
Talk_0123,"Talk_0123"
Talk_0080,"Talk_0080"
0018,"0018"
Talk_0019,"Talk_0019"
Talk_0124,"Talk_0124"
0019,"0019"
Talk_0230,"Talk_0230"
Talk_0081,"Talk_0081"
Talk_0082,"Talk_0082"
Talk_0126,"Talk_0126"
Talk_0083,"Talk_0083"
Talk_0127,"Talk_0127"
Talk_0233,"Talk_0233"
Talk_0084,"Talk_0084"
Talk_0128,"Talk_0128"
Talk_0190,"Talk_0190"
Talk_0129,"Talk_0129"
Talk_0086,"Talk_0086"
