Label,String
Talk_0015,"Talk_0015"
Talk_1032,"Talk_1032"
Near_0001,"Near_0001"
Talk_0016,"Talk_0016"
Talk_1033,"Talk_1033"
Greeting_Noon,"Greeting_Noon"
Talk_0017,"Talk_0017"
Talk_1034,"Talk_1034"
Talk_0018,"Talk_0018"
Talk_1035,"Talk_1035"
Talk_0019,"Talk_0019"
Talk_1001,"Talk_1001"
Talk_1036,"Talk_1036"
Talk_1002,"Talk_1002"
Talk_1003,"Talk_1003"
Talk_1004,"Talk_1004"
Talk_1005,"Talk_1005"
Talk_1006,"Talk_1006"
Talk_0001,"Talk_0001"
Talk_1007,"Talk_1007"
Talk_0002,"Talk_0002"
Talk_1008,"Talk_1008"
Talk_0003,"Talk_0003"
Talk_1009,"Talk_1009"
Talk_0004,"Talk_0004"
Talk_1021,"Talk_1021"
Talk_0005,"Talk_0005"
0000,"0000"
Talk_0006,"Talk_0006"
0001,"0001"
Talk_0007,"Talk_0007"
0002,"0002"
Talk_0008,"Talk_0008"
Talk_1025,"Talk_1025"
0003,"0003"
Talk_0009,"Talk_0009"
Talk_1026,"Talk_1026"
0004,"0004"
Talk_1027,"Talk_1027"
Talk_1028,"Talk_1028"
0005,"0005"
Talk_1029,"Talk_1029"
0006,"0006"
0007,"0007"
Talk_1010,"Talk_1010"
Talk_1011,"Talk_1011"
Greeting_Morning,"Greeting_Morning"
Talk_1012,"Talk_1012"
Talk_1013,"Talk_1013"
Talk_1014,"Talk_1014"
Talk_1015,"Talk_1015"
Talk_0010,"Talk_0010"
Near_1001,"Near_1001"
Greeting_Evening,"Greeting_Evening"
Talk_0011,"Talk_0011"
Near_1002,"Near_1002"
Talk_1017,"Talk_1017"
Talk_0012,"Talk_0012"
Talk_1018,"Talk_1018"
Talk_0013,"Talk_0013"
Talk_1030,"Talk_1030"
Talk_1019,"Talk_1019"
Talk_0014,"Talk_0014"
Talk_1031,"Talk_1031"
