Label,String
Dm_ED_0003_Text_005_b,"Dm_ED_0003_Text_005_b"
Dm_ED_0003_Text_014_b,"Dm_ED_0003_Text_014_b"
Dm_ED_0003_Text_003_b,"Dm_ED_0003_Text_003_b"
Dm_ED_0003_Text_012_b,"Dm_ED_0003_Text_012_b"
Dm_ED_0003_Text_001_b,"Dm_ED_0003_Text_001_b"
Dm_ED_0003_Text_010_b,"Dm_ED_0003_Text_010_b"
Dm_ED_0003_Text_019_b,"Dm_ED_0003_Text_019_b"
Dm_ED_0003_Text_008_b,"Dm_ED_0003_Text_008_b"
Dm_ED_0003_Text_017_b,"Dm_ED_0003_Text_017_b"
Dm_ED_0003_Text_006_b,"Dm_ED_0003_Text_006_b"
Dm_ED_0003_Text_004_b,"Dm_ED_0003_Text_004_b"
Dm_ED_0003_Text_002_b,"Dm_ED_0003_Text_002_b"
Dm_ED_0003_Text_011_b,"Dm_ED_0003_Text_011_b"
Dm_ED_0003_Text_000_b,"Dm_ED_0003_Text_000_b"
Dm_ED_0003_Text_009_b,"Dm_ED_0003_Text_009_b"
Dm_ED_0003_Text_018_b,"Dm_ED_0003_Text_018_b"
Dm_ED_0003_Text_007_b,"Dm_ED_0003_Text_007_b"
Dm_ED_0003_Text_016_b,"Dm_ED_0003_Text_016_b"
