Label,String
Dm_GA_0018_Text_005_c,"Dm_GA_0018_Text_005_c"
Dm_GA_0018_Text_003_c,"Dm_GA_0018_Text_003_c"
Dm_GA_0018_Text_001_c,"Dm_GA_0018_Text_001_c"
Dm_GA_0018_Text_003_d,"Dm_GA_0018_Text_003_d"
Dm_GA_0018_Text_001_d,"Dm_GA_0018_Text_001_d"
Dm_GA_0018_Text_008_c,"Dm_GA_0018_Text_008_c"
Dm_GA_0018_Text_006_c,"Dm_GA_0018_Text_006_c"
Dm_GA_0018_Text_000_aaaaab,"Dm_GA_0018_Text_000_aaaaab"
Dm_GA_0018_Text_004_d,"Dm_GA_0018_Text_004_d"
Dm_GA_0018_Text_005_ab,"Dm_GA_0018_Text_005_ab"
Dm_GA_0018_Text_000_c,"Dm_GA_0018_Text_000_c"
Dm_GA_0018_Text_002_d,"Dm_GA_0018_Text_002_d"
Dm_GA_0018_Text_004_e,"Dm_GA_0018_Text_004_e"
Dm_GA_0018_Text_000_d,"Dm_GA_0018_Text_000_d"
Dm_GA_0018_Text_002_e,"Dm_GA_0018_Text_002_e"
Dm_GA_0018_Text_009_c,"Dm_GA_0018_Text_009_c"
Dm_GA_0018_Text_007_c,"Dm_GA_0018_Text_007_c"
