Label,String
Talk_010,"Talk_010"
Talk_011,"Talk_011"
Talk_012,"Talk_012"
Talk_000,"Talk_000"
Talk_013,"Talk_013"
Talk_001,"Talk_001"
Talk_200,"Talk_200"
Talk_002,"Talk_002"
Talk_201,"Talk_201"
Talk_003,"Talk_003"
Talk_202,"Talk_202"
Talk_004,"Talk_004"
Talk_017,"Talk_017"
Talk_203,"Talk_203"
Talk_005,"Talk_005"
Talk_018,"Talk_018"
Near_200,"Near_200"
Talk_204,"Talk_204"
Talk_006,"Talk_006"
Near_201,"Near_201"
Talk_205,"Talk_205"
Talk_007,"Talk_007"
Near_202,"Near_202"
Talk_206,"Talk_206"
Talk_008,"Talk_008"
Talk_207,"Talk_207"
Talk_009,"Talk_009"
Talk_208,"Talk_208"
