Label,String
Talk3102,"Talk3102"
Talk0013,"Talk0013"
Talk1001,"Talk1001"
Talk0016,"Talk0016"
Talk1002,"Talk1002"
Talk0017,"Talk0017"
Talk1003,"Talk1003"
Talk0018,"Talk0018"
Talk1004,"Talk1004"
Talk0019,"Talk0019"
Talk1005,"Talk1005"
Talk1006,"Talk1006"
Talk0021,"Talk0021"
Talk0022,"Talk0022"
Talk1008,"Talk1008"
Talk0023,"Talk0023"
Talk1009,"Talk1009"
Talk1010,"Talk1010"
Talk1011,"Talk1011"
Talk3000,"Talk3000"
0000,"0000"
Talk3001,"Talk3001"
0001,"0001"
Talk3002,"Talk3002"
0002,"0002"
Talk2001,"Talk2001"
Near0001,"Near0001"
Talk0001,"Talk0001"
0003,"0003"
Talk2002,"Talk2002"
Talk3004,"Talk3004"
Talk0002,"Talk0002"
0004,"0004"
Talk2003,"Talk2003"
Talk0003,"Talk0003"
0005,"0005"
Talk0004,"Talk0004"
Talk3007,"Talk3007"
Talk0005,"Talk0005"
Talk3008,"Talk3008"
Talk3009,"Talk3009"
Talk0007,"Talk0007"
Talk2008,"Talk2008"
Talk0008,"Talk0008"
Talk0009,"Talk0009"
Talk2010,"Talk2010"
Talk0010,"Talk0010"
Talk0011,"Talk0011"
