Label,String
near0003,"near0003"
talk0026,"talk0026"
near0004,"near0004"
talk0027,"talk0027"
talk0028,"talk0028"
talk0010,"talk0010"
talk0029,"talk0029"
talk0011,"talk0011"
talk0012,"talk0012"
talk0013,"talk0013"
talk0014,"talk0014"
talk0015,"talk0015"
0000,"0000"
talk0016,"talk0016"
talk0017,"talk0017"
talk0040,"talk0040"
talk0000,"talk0000"
0002,"0002"
talk0041,"talk0041"
0003,"0003"
talk0001,"talk0001"
talk0019,"talk0019"
talk0042,"talk0042"
0004,"0004"
talk0002,"talk0002"
talk0043,"talk0043"
talk0003,"talk0003"
talk0044,"talk0044"
talk0045,"talk0045"
talk0005,"talk0005"
talk0046,"talk0046"
0007,"0007"
talk0006,"talk0006"
talk0047,"talk0047"
0008,"0008"
talk0030,"talk0030"
0009,"0009"
talk0007,"talk0007"
talk0048,"talk0048"
talk0031,"talk0031"
talk0008,"talk0008"
talk0049,"talk0049"
talk0032,"talk0032"
talk0009,"talk0009"
talk0033,"talk0033"
talk0034,"talk0034"
talk0035,"talk0035"
talk0036,"talk0036"
talk0037,"talk0037"
talk0020,"talk0020"
talk0038,"talk0038"
talk0039,"talk0039"
talk0021,"talk0021"
near0000,"near0000"
talk0023,"talk0023"
near0001,"near0001"
talk0024,"talk0024"
near0002,"near0002"
