Label,String
Talk1006,"Talk1006"
Talk1019,"Talk1019"
Talk1007,"Talk1007"
Talk1008,"Talk1008"
Talk1009,"Talk1009"
Talk1040,"Talk1040"
Talk1041,"Talk1041"
Talk1042,"Talk1042"
Talk1030,"Talk1030"
Talk1043,"Talk1043"
0000,"0000"
Talk1031,"Talk1031"
0001,"0001"
Talk1032,"Talk1032"
Talk1033,"Talk1033"
Talk1020,"Talk1020"
Talk1021,"Talk1021"
Talk1034,"Talk1034"
Talk1023,"Talk1023"
Talk1010,"Talk1010"
Talk1011,"Talk1011"
Talk1024,"Talk1024"
Talk1025,"Talk1025"
Talk1012,"Talk1012"
Talk1026,"Talk1026"
Talk1013,"Talk1013"
Talk1001,"Talk1001"
Talk1027,"Talk1027"
Talk1014,"Talk1014"
Talk1028,"Talk1028"
Talk1002,"Talk1002"
Talk1015,"Talk1015"
Talk1029,"Talk1029"
Talk1003,"Talk1003"
Talk1016,"Talk1016"
near00,"near00"
Talk1004,"Talk1004"
Talk1018,"Talk1018"
