Label,String
GoalPoint_01,"GoalPoint_01"
GoRange_01,"GoRange_01"
GoRange_02_2,"GoRange_02_2"
GoRange_02,"GoRange_02"
BackRange_01_2,"BackRange_01_2"
Near_StartPoint_01,"Near_StartPoint_01"
StartPoint_01,"StartPoint_01"
GoRange_03,"GoRange_03"
BackRange_03_2,"BackRange_03_2"
StartPoint_01_2,"StartPoint_01_2"
BackRange_01,"BackRange_01"
Near_GoRange_01,"Near_GoRange_01"
Near_BackRange_01,"Near_BackRange_01"
RestPoint_01_2,"RestPoint_01_2"
BackRange_02,"BackRange_02"
Near_GoRange_02,"Near_GoRange_02"
Near_BackRange_02,"Near_BackRange_02"
GoRange_01_2,"GoRange_01_2"
BackRange_03,"BackRange_03"
Near_GoRange_03,"Near_GoRange_03"
Near_BackRange_03,"Near_BackRange_03"
GoRange_03_2,"GoRange_03_2"
RestPoint_01,"RestPoint_01"
BackRange_02_2,"BackRange_02_2"
Near_Thunder,"Near_Thunder"
GoalPoint_01_2,"GoalPoint_01_2"
FriendGreet_00,"FriendGreet_00"
FriendGreet_01,"FriendGreet_01"
Near_Rain,"Near_Rain"
Greeting,"Greeting"
Near_GoalPoint_01,"Near_GoalPoint_01"
