Label,String
Near_02,"Near_02"
Talk_1110,"Talk_1110"
Talk_1000,"Talk_1000"
Talk_3011,"Talk_3011"
Talk_3012,"Talk_3012"
Talk_1130,"Talk_1130"
Com_Talk_13,"Com_Talk_13"
Talk_3013,"Talk_3013"
Com_Talk_14,"Com_Talk_14"
Talk_3014,"Talk_3014"
Com_Talk_15,"Com_Talk_15"
Talk_3015,"Talk_3015"
Talk_1020,"Talk_1020"
Com_Talk_16,"Com_Talk_16"
5510,"5510"
0001,"0001"
Com_Talk_31,"Com_Talk_31"
SagonoHat,"SagonoHat"
Com_Talk_33,"Com_Talk_33"
Com_Talk_05b,"Com_Talk_05b"
Com_Talk_34,"Com_Talk_34"
Talk_2010,"Talk_2010"
Com_Talk_00,"Com_Talk_00"
Com_Talk_05c,"Com_Talk_05c"
Com_Talk_35,"Com_Talk_35"
Talk_3000,"Talk_3000"
Talk_2011,"Talk_2011"
Com_Talk_01,"Com_Talk_01"
Com_Talk_05d,"Com_Talk_05d"
Talk_3001,"Talk_3001"
Com_Talk_02,"Com_Talk_02"
Talk_3002,"Talk_3002"
Talk_1120,"Talk_1120"
Talk_3003,"Talk_3003"
Com_Talk_02b,"Com_Talk_02b"
Com_Talk_04,"Com_Talk_04"
Com_Talk_50,"Com_Talk_50"
Talk_3004,"Talk_3004"
Com_Talk_02c,"Com_Talk_02c"
Com_Talk_05,"Com_Talk_05"
NakedPlayer,"NakedPlayer"
Talk_1010,"Talk_1010"
Com_Talk_02d,"Com_Talk_02d"
Com_Talk_52,"Com_Talk_52"
5500,"5500"
Talk_3006,"Talk_3006"
Com_Talk_53,"Com_Talk_53"
5501,"5501"
Talk_3007,"Talk_3007"
Com_Talk_54,"Com_Talk_54"
5502,"5502"
Talk_3008,"Talk_3008"
Com_Talk_55,"Com_Talk_55"
5503,"5503"
Talk_3009,"Talk_3009"
Com_Talk_56,"Com_Talk_56"
Talk_1140,"Talk_1140"
Talk_1141,"Talk_1141"
5507,"5507"
Talk_2000,"Talk_2000"
5508,"5508"
Talk_1030,"Talk_1030"
5509,"5509"
Near_01,"Near_01"
