Label,String
Talk034,"Talk034"
0000,"0000"
Talk_18,"Talk_18"
Talk035,"Talk035"
0001,"0001"
Talk036,"Talk036"
0002,"0002"
Talk037,"Talk037"
0003,"0003"
NakedPlayer_00,"NakedPlayer_00"
Talk038,"Talk038"
0004,"0004"
NakedPlayer_01,"NakedPlayer_01"
Talk039,"Talk039"
Talk_20,"Talk_20"
0005,"0005"
NakedPlayer_02,"NakedPlayer_02"
Talk_21,"Talk_21"
0006,"0006"
Talk_22,"Talk_22"
Talk_90,"Talk_90"
Talk_23,"Talk_23"
0008,"0008"
Talk_91,"Talk_91"
near0001,"near0001"
Talk040,"Talk040"
Talk_24,"Talk_24"
0009,"0009"
Talk_92,"Talk_92"
near0002,"near0002"
Talk041,"Talk041"
Talk_25,"Talk_25"
Talk_93,"Talk_93"
near0003,"near0003"
Talk042,"Talk042"
Talk_94,"Talk_94"
Talk_26,"Talk_26"
Talk043,"Talk043"
Talk_95,"Talk_95"
Talk_27,"Talk_27"
Talk044,"Talk044"
Talk_96,"Talk_96"
Talk_28,"Talk_28"
Talk045,"Talk045"
Talk_97,"Talk_97"
Talk_29,"Talk_29"
0011,"0011"
Talk046,"Talk046"
Talk_98,"Talk_98"
0012,"0012"
0013,"0013"
Talk_99,"Talk_99"
Talk048,"Talk048"
0014,"0014"
0015,"0015"
Talk_30,"Talk_30"
Talk_31,"Talk_31"
0017,"0017"
Talk_32,"Talk_32"
0018,"0018"
Talk_33,"Talk_33"
Talk_34,"Talk_34"
0019,"0019"
Talk_35,"Talk_35"
Talk_36,"Talk_36"
Talk_37,"Talk_37"
Talk_38,"Talk_38"
Talk_39,"Talk_39"
Talk_100,"Talk_100"
Talk_101,"Talk_101"
Talk_102,"Talk_102"
Talk_40,"Talk_40"
Talk_103,"Talk_103"
Talk_41,"Talk_41"
Talk_104,"Talk_104"
Talk_42,"Talk_42"
Talk_105,"Talk_105"
Talk_43,"Talk_43"
TerrorAnimal,"TerrorAnimal"
Talk_44,"Talk_44"
Talk_106,"Talk_106"
Talk_107,"Talk_107"
Talk_46,"Talk_46"
TerrorFire_00,"TerrorFire_00"
Talk_47,"Talk_47"
TerrorFire_01,"TerrorFire_01"
Talk_48,"Talk_48"
TerrorFire_02,"TerrorFire_02"
Talk_49,"Talk_49"
TerrorImpulse,"TerrorImpulse"
Talk_50,"Talk_50"
Talk_51,"Talk_51"
Talk_52,"Talk_52"
TerrorLightning_00,"TerrorLightning_00"
Talk001,"Talk001"
Talk_53,"Talk_53"
TerrorLightning_01,"TerrorLightning_01"
Talk002,"Talk002"
TerrorLightning_02,"TerrorLightning_02"
TerrorEnemy,"TerrorEnemy"
Talk003,"Talk003"
Talk_55,"Talk_55"
Talk004,"Talk004"
Talk005,"Talk005"
Talk_57,"Talk_57"
TerrorBomb_00,"TerrorBomb_00"
Talk006,"Talk006"
Talk_58,"Talk_58"
TerrorBomb_01,"TerrorBomb_01"
Talk007,"Talk007"
Talk_59,"Talk_59"
TerrorBomb_02,"TerrorBomb_02"
Talk008,"Talk008"
Talk009,"Talk009"
TerrorInsect,"TerrorInsect"
Talk_60,"Talk_60"
TerrorSword_00,"TerrorSword_00"
Talk_61,"Talk_61"
TerrorSword_01,"TerrorSword_01"
Talk010,"Talk010"
Talk_62,"Talk_62"
TerrorSword_02,"TerrorSword_02"
Talk011,"Talk011"
Talk_63,"Talk_63"
TerrorIce,"TerrorIce"
Talk012,"Talk012"
Talk_64,"Talk_64"
Talk013,"Talk013"
Talk_65,"Talk_65"
Talk014,"Talk014"
Talk_66,"Talk_66"
Talk_67,"Talk_67"
TerrorFlash,"TerrorFlash"
Talk_68,"Talk_68"
TerrorExplosion_00,"TerrorExplosion_00"
Talk_69,"Talk_69"
TerrorExplosion_01,"TerrorExplosion_01"
TerrorExplosion_02,"TerrorExplosion_02"
Talk019,"Talk019"
Talk_70,"Talk_70"
Talk_71,"Talk_71"
Talk020,"Talk020"
Talk_72,"Talk_72"
TerrorArrow_00,"TerrorArrow_00"
Talk_73,"Talk_73"
TerrorArrow_01,"TerrorArrow_01"
ClearTerrorEnemy,"ClearTerrorEnemy"
Talk_74,"Talk_74"
TerrorArrow_02,"TerrorArrow_02"
Talk023,"Talk023"
Talk_75,"Talk_75"
Talk_76,"Talk_76"
Talk_77,"Talk_77"
Talk026,"Talk026"
Talk_78,"Talk_78"
Talk_79,"Talk_79"
TerrorGeneric_00,"TerrorGeneric_00"
Talk028,"Talk028"
TerrorGeneric_01,"TerrorGeneric_01"
Talk029,"Talk029"
TerrorGeneric_02,"TerrorGeneric_02"
Talk_80,"Talk_80"
TerrorHorse,"TerrorHorse"
SagonoHat,"SagonoHat"
Talk_81,"Talk_81"
Talk030,"Talk030"
Talk_82,"Talk_82"
Talk031,"Talk031"
Talk_83,"Talk_83"
Talk032,"Talk032"
Talk_84,"Talk_84"
Talk033,"Talk033"
Talk_17,"Talk_17"
