Label,String
talk0001,"talk0001"
Shiny_DegudoToGate,"Shiny_DegudoToGate"
1002,"1002"
talk0002,"talk0002"
1003,"1003"
Greeting_Evening,"Greeting_Evening"
talk0003,"talk0003"
Greeting_Day_Rain,"Greeting_Day_Rain"
talk0004,"talk0004"
Rain_GateToDegudo,"Rain_GateToDegudo"
Balloon_Midnight,"Balloon_Midnight"
Common_00,"Common_00"
Common_01,"Common_01"
Balloon_Evening,"Balloon_Evening"
Shiny_GateToDegudo,"Shiny_GateToDegudo"
Sleep_00,"Sleep_00"
Passed_01,"Passed_01"
Greeting_Midnight,"Greeting_Midnight"
Rain_DegudoToGate,"Rain_DegudoToGate"
Passed_02,"Passed_02"
Greeting_Morning_2,"Greeting_Morning_2"
1000,"1000"
InTent,"InTent"
Balloon_Day,"Balloon_Day"
talk0000,"talk0000"
1001,"1001"
Greeting_Noon,"Greeting_Noon"
