Label,String
Talk_14,"Talk_14"
Talk_15,"Talk_15"
Talk_16,"Talk_16"
TerrorEnemy_00,"TerrorEnemy_00"
Talk_18,"Talk_18"
TerrorEnemy_01,"TerrorEnemy_01"
Talk_19,"Talk_19"
TerrorEnemy_02,"TerrorEnemy_02"
TerrorImpulse_00,"TerrorImpulse_00"
TerrorHorse_00,"TerrorHorse_00"
Talk_20,"Talk_20"
TerrorImpulse_01,"TerrorImpulse_01"
TerrorHorse_01,"TerrorHorse_01"
Talk_21,"Talk_21"
TerrorImpulse_02,"TerrorImpulse_02"
TerrorHorse_02,"TerrorHorse_02"
TerrorSword_00,"TerrorSword_00"
TerrorSword_01,"TerrorSword_01"
TerrorSword_02,"TerrorSword_02"
Talk_01,"Talk_01"
Talk_02,"Talk_02"
0002,"0002"
TerrorBomb_01,"TerrorBomb_01"
0003,"0003"
Talk_03,"Talk_03"
TerrorBomb_02,"TerrorBomb_02"
TerrorInsect,"TerrorInsect"
TerrorFire_00,"TerrorFire_00"
TerrorFire_01,"TerrorFire_01"
Enokida_00,"Enokida_00"
TerrorFire_02,"TerrorFire_02"
TerrorFlash_00,"TerrorFlash_00"
Enokida_01,"Enokida_01"
Talk_07,"Talk_07"
TerrorFlash_01,"TerrorFlash_01"
Enokida_02,"Enokida_02"
Talk_08,"Talk_08"
TerrorArrow_00,"TerrorArrow_00"
TerrorFlash_02,"TerrorFlash_02"
Talk_09,"Talk_09"
TerrorArrow_01,"TerrorArrow_01"
Talk_10,"Talk_10"
TerrorArrow_02,"TerrorArrow_02"
Talk_11,"Talk_11"
TerrorGeneric_00,"TerrorGeneric_00"
TerrorExplosion_00,"TerrorExplosion_00"
Talk_12,"Talk_12"
TerrorGeneric_01,"TerrorGeneric_01"
TerrorExplosion_01,"TerrorExplosion_01"
Talk_13,"Talk_13"
TerrorGeneric_02,"TerrorGeneric_02"
TerrorExplosion_02,"TerrorExplosion_02"
TerrorLightning,"TerrorLightning"
TerrorAnimal,"TerrorAnimal"
