Label,String
near0011,"near0011"
talk0001,"talk0001"
near0012,"near0012"
talk0028,"talk0028"
talk0029,"talk0029"
talk0017,"talk0017"
near0001,"near0001"
talk0018,"talk0018"
talk0019,"talk0019"
near0004,"near0004"
talk0008,"talk0008"
talk0030,"talk0030"
talk0009,"talk0009"
talk0031,"talk0031"
near0006,"near0006"
talk0032,"talk0032"
0000,"0000"
0001,"0001"
talk0033,"talk0033"
near0008,"near0008"
talk0020,"talk0020"
talk0034,"talk0034"
near0009,"near0009"
talk0021,"talk0021"
talk0035,"talk0035"
talk0022,"talk0022"
talk0010,"talk0010"
talk0023,"talk0023"
talk0012,"talk0012"
talk0013,"talk0013"
