Label,String
talk0009,"talk0009"
near0010,"near0010"
near0011,"near0011"
near0012,"near0012"
near0000,"near0000"
near0013,"near0013"
near0001,"near0001"
near0014,"near0014"
near0002,"near0002"
near0003,"near0003"
talk0032,"talk0032"
near0004,"near0004"
near0005,"near0005"
talk0020,"talk0020"
talk0034,"talk0034"
near0006,"near0006"
talk0021,"talk0021"
near0007,"near0007"
talk0022,"talk0022"
talk0035,"talk0035"
talk0010,"talk0010"
near0008,"near0008"
talk0023,"talk0023"
talk0037,"talk0037"
near0009,"near0009"
talk0024,"talk0024"
talk0025,"talk0025"
talk0012,"talk0012"
talk0000,"talk0000"
talk0013,"talk0013"
talk0027,"talk0027"
talk0014,"talk0014"
SunazarashiDoll,"SunazarashiDoll"
talk0002,"talk0002"
talk0003,"talk0003"
talk0016,"talk0016"
talk0004,"talk0004"
talk0017,"talk0017"
talk0005,"talk0005"
talk0018,"talk0018"
talk0006,"talk0006"
talk0019,"talk0019"
