Label,String
Talk_14,"Talk_14"
Talk_15,"Talk_15"
Talk_16,"Talk_16"
Talk_18,"Talk_18"
Talk_19,"Talk_19"
Talk_20,"Talk_20"
Talk_21,"Talk_21"
Talk_22,"Talk_22"
Talk_23,"Talk_23"
Talk_24,"Talk_24"
Talk_100,"Talk_100"
Talk_25,"Talk_25"
Talk_26,"Talk_26"
Talk_27,"Talk_27"
Talk_103,"Talk_103"
Talk_28,"Talk_28"
Talk_29,"Talk_29"
Talk_01,"Talk_01"
0001,"0001"
Talk_30,"Talk_30"
Talk_02,"Talk_02"
0002,"0002"
Talk_31,"Talk_31"
Talk_107,"Talk_107"
Talk_32,"Talk_32"
Talk_108,"Talk_108"
Talk_04,"Talk_04"
Talk_33,"Talk_33"
0005,"0005"
Talk_34,"Talk_34"
Talk_05,"Talk_05"
Talk_06,"Talk_06"
Talk_35,"Talk_35"
Talk_07,"Talk_07"
Talk_36,"Talk_36"
Talk_08,"Talk_08"
Talk_37,"Talk_37"
Talk_95,"Talk_95"
Talk_09,"Talk_09"
Talk_38,"Talk_38"
Talk_96,"Talk_96"
Talk_10,"Talk_10"
Talk_39,"Talk_39"
Talk_11,"Talk_11"
Talk_40,"Talk_40"
Talk_12,"Talk_12"
Talk_41,"Talk_41"
Talk_99,"Talk_99"
Talk_13,"Talk_13"
Talk_42,"Talk_42"
