Label,String
Talk_Ready_1007,"Talk_Ready_1007"
Talk_Search_1003,"Talk_Search_1003"
Talk_Search_2006,"Talk_Search_2006"
Talk_Search_1004,"Talk_Search_1004"
Talk_Search_2007,"Talk_Search_2007"
Talk_Search_2008,"Talk_Search_2008"
Talk_Search_2009,"Talk_Search_2009"
Talk_Search_2010,"Talk_Search_2010"
Talk_Report_1002,"Talk_Report_1002"
Talk_Search_2011,"Talk_Search_2011"
Talk_Report_1003,"Talk_Report_1003"
Talk_Search_2012,"Talk_Search_2012"
Talk_Search_6001,"Talk_Search_6001"
Talk_Report_1004,"Talk_Report_1004"
Talk_Report_1005,"Talk_Report_1005"
Near_Ready_1001,"Near_Ready_1001"
Talk_Report_1006,"Talk_Report_1006"
Near_Ready_1002,"Near_Ready_1002"
Talk_Search_3001,"Talk_Search_3001"
Near_Search_2001,"Near_Search_2001"
Talk_Search_3002,"Talk_Search_3002"
Talk_Report_1008,"Talk_Report_1008"
Talk_Search_3003,"Talk_Search_3003"
Talk_Cooking_3003,"Talk_Cooking_3003"
Talk_Cooking_0001,"Talk_Cooking_0001"
Talk_Cooking_3004,"Talk_Cooking_3004"
Talk_Cooking_3005,"Talk_Cooking_3005"
0001,"0001"
Talk_Cooking_3006,"Talk_Cooking_3006"
0002,"0002"
Talk_Cooking_3007,"Talk_Cooking_3007"
0003,"0003"
Talk_Cooking_3008,"Talk_Cooking_3008"
0004,"0004"
Talk_Cooking_3009,"Talk_Cooking_3009"
Talk_Cooking_3010,"Talk_Cooking_3010"
0006,"0006"
Talk_Cooking_3011,"Talk_Cooking_3011"
Talk_Cooking_3012,"Talk_Cooking_3012"
Talk_Ready_1001,"Talk_Ready_1001"
Talk_Search_5001,"Talk_Search_5001"
Talk_Cooking_3013,"Talk_Cooking_3013"
Talk_Ready_1002,"Talk_Ready_1002"
Talk_Cooking_3014,"Talk_Cooking_3014"
Talk_Ready_1003,"Talk_Ready_1003"
Talk_Search_4001,"Talk_Search_4001"
Talk_Cooking_3015,"Talk_Cooking_3015"
Talk_Ready_1004,"Talk_Ready_1004"
Talk_Search_2001,"Talk_Search_2001"
Near_Search_3001,"Near_Search_3001"
Talk_Ready_1005,"Talk_Ready_1005"
Talk_Ready_1006,"Talk_Ready_1006"
Talk_Search_2003,"Talk_Search_2003"
Talk_Search_1001,"Talk_Search_1001"
