Label,String
Talk_21,"Talk_21"
Near_02,"Near_02"
Talk_56,"Talk_56"
Talk_22,"Talk_22"
Near_03,"Near_03"
Talk_57,"Talk_57"
Talk_23,"Talk_23"
Talk_58,"Talk_58"
Near_04,"Near_04"
Near_05,"Near_05"
Talk_24,"Talk_24"
Near_06,"Near_06"
Talk_25,"Talk_25"
Near_07,"Near_07"
Talk_26,"Talk_26"
Talk_27,"Talk_27"
Talk_28,"Talk_28"
Talk_40,"Talk_40"
Talk_29,"Talk_29"
Talk_41,"Talk_41"
Talk_42,"Talk_42"
Talk_43,"Talk_43"
Talk_44,"Talk_44"
Talk_45,"Talk_45"
Talk_10,"Talk_10"
Talk_46,"Talk_46"
Talk_11,"Talk_11"
Talk_47,"Talk_47"
0000,"0000"
Talk_12,"Talk_12"
0001,"0001"
Talk_48,"Talk_48"
Talk_13,"Talk_13"
Talk_14,"Talk_14"
Talk_49,"Talk_49"
0002,"0002"
Talk_15,"Talk_15"
Talk_16,"Talk_16"
Talk_17,"Talk_17"
Talk_18,"Talk_18"
Talk_19,"Talk_19"
Talk_30,"Talk_30"
Talk_31,"Talk_31"
Talk_32,"Talk_32"
Talk_33,"Talk_33"
Talk_34,"Talk_34"
Talk_35,"Talk_35"
Talk_36,"Talk_36"
Talk_01,"Talk_01"
Talk_37,"Talk_37"
Talk_02,"Talk_02"
Talk_38,"Talk_38"
Talk_03,"Talk_03"
Talk_50,"Talk_50"
Talk_39,"Talk_39"
Talk_51,"Talk_51"
Talk_52,"Talk_52"
Talk_07,"Talk_07"
Talk_53,"Talk_53"
Talk_08,"Talk_08"
Talk_54,"Talk_54"
Near_01,"Near_01"
Talk_20,"Talk_20"
Talk_55,"Talk_55"
Talk_09,"Talk_09"
