Label,String
Talk21,"Talk21"
Talk34,"Talk34"
Talk35,"Talk35"
Talk22,"Talk22"
Talk23,"Talk23"
Talk10,"Talk10"
Talk11,"Talk11"
Talk24,"Talk24"
Talk25,"Talk25"
Talk12,"Talk12"
Talk00,"Talk00"
Talk26,"Talk26"
Talk13,"Talk13"
Talk27,"Talk27"
Talk14,"Talk14"
Talk01,"Talk01"
Talk15,"Talk15"
Talk28,"Talk28"
Talk02,"Talk02"
Talk03,"Talk03"
Talk29,"Talk29"
Talk16,"Talk16"
Talk17,"Talk17"
0000,"0000"
Talk04,"Talk04"
0001,"0001"
Talk18,"Talk18"
Talk05,"Talk05"
Talk19,"Talk19"
0002,"0002"
Talk06,"Talk06"
Talk07,"Talk07"
0003,"0003"
0004,"0004"
Talk08,"Talk08"
0005,"0005"
Talk09,"Talk09"
0006,"0006"
Talk30,"Talk30"
Talk31,"Talk31"
Near00,"Near00"
Talk32,"Talk32"
Talk20,"Talk20"
Talk33,"Talk33"
Near01,"Near01"
