Label,String
RecipeNumber,"RecipeNumber"
Pa_RecipeCard_00-Pa_Recipe_00-T_Cookable_00,"Pa_RecipeCard_00-Pa_Recipe_00-T_Cookable_00"
Name,"Name"
Pa_RecipeCard_00-Pa_Recipe_00-T_NewCooking_00,"Pa_RecipeCard_00-Pa_Recipe_00-T_NewCooking_00"
Pa_RecipeCard_00-T_Cook_00,"Pa_RecipeCard_00-T_Cook_00"
RecipeCompleteRate,"RecipeCompleteRate"
MaterialRecipeGuide,"MaterialRecipeGuide"
Pa_RecipeCard_00-Pa_Recipe_00-Pa_Material_00-Pa_FoodParam_00-T_MaxText_00,"Pa_RecipeCard_00-Pa_Recipe_00-Pa_Material_00-Pa_FoodParam_00-T_MaxText_00"
RecipeCardLogNum,"RecipeCardLogNum"
Pa_RecipeSlideList_00-Pa_Btn_00-Pa_FoodParam_00-T_MaxText_00,"Pa_RecipeSlideList_00-Pa_Btn_00-Pa_FoodParam_00-T_MaxText_00"
Pa_RecipeSlideList_00-Pa_Btn_00-Pa_FoodParam_01-T_Plus_00,"Pa_RecipeSlideList_00-Pa_Btn_00-Pa_FoodParam_01-T_Plus_00"
UseMaterial,"UseMaterial"
Pa_RecipeSlideList_00-Pa_Btn_00-Pa_FoodParam_01-T_Plus_01,"Pa_RecipeSlideList_00-Pa_Btn_00-Pa_FoodParam_01-T_Plus_01"
Pa_RecipeCard_00-Pa_Recipe_00-Pa_Material_00-Pa_FoodParam_01-T_Plus_00,"Pa_RecipeCard_00-Pa_Recipe_00-Pa_Material_00-Pa_FoodParam_01-T_Plus_00"
Pa_RecipeCard_00-Pa_Recipe_00-Pa_Material_00-Pa_FoodParam_01-T_Plus_01,"Pa_RecipeCard_00-Pa_Recipe_00-Pa_Material_00-Pa_FoodParam_01-T_Plus_01"
FoodRecipeGuide,"FoodRecipeGuide"
RecipeComplete,"RecipeComplete"
