Label,String
talk0038,"talk0038"
near0002,"near0002"
talk0039,"talk0039"
near0003,"near0003"
talk0024,"talk0024"
near0004,"near0004"
talk0010,"talk0010"
talk0025,"talk0025"
talk0026,"talk0026"
talk0011,"talk0011"
1001,"1001"
near0005,"near0005"
talk0027,"talk0027"
talk0012,"talk0012"
1002,"1002"
talk0028,"talk0028"
talk0013,"talk0013"
talk0029,"talk0029"
talk0014,"talk0014"
talk0000,"talk0000"
talk0015,"talk0015"
talk0001,"talk0001"
talk0016,"talk0016"
talk0017,"talk0017"
talk0002,"talk0002"
talk0090,"talk0090"
talk0018,"talk0018"
talk0091,"talk0091"
talk0004,"talk0004"
talk0005,"talk0005"
talk0006,"talk0006"
talk0007,"talk0007"
talk0080,"talk0080"
talk0081,"talk0081"
talk0082,"talk0082"
talk0009,"talk0009"
talk0083,"talk0083"
talk0084,"talk0084"
talk0070,"talk0070"
talk0085,"talk0085"
talk0071,"talk0071"
talk0086,"talk0086"
talk0072,"talk0072"
talk0087,"talk0087"
talk0073,"talk0073"
talk0088,"talk0088"
talk0074,"talk0074"
talk0089,"talk0089"
talk0075,"talk0075"
talk0060,"talk0060"
talk0061,"talk0061"
talk0076,"talk0076"
talk0062,"talk0062"
talk0077,"talk0077"
talk0063,"talk0063"
0014,"0014"
talk0078,"talk0078"
talk0064,"talk0064"
talk0079,"talk0079"
talk0065,"talk0065"
0001,"0001"
talk0050,"talk0050"
talk0066,"talk0066"
0002,"0002"
talk0051,"talk0051"
talk0067,"talk0067"
talk0052,"talk0052"
0004,"0004"
talk0068,"talk0068"
talk0053,"talk0053"
talk0069,"talk0069"
0005,"0005"
talk0054,"talk0054"
0006,"0006"
talk0040,"talk0040"
talk0055,"talk0055"
talk0041,"talk0041"
0007,"0007"
talk0056,"talk0056"
talk0043,"talk0043"
talk0058,"talk0058"
talk0044,"talk0044"
talk0030,"talk0030"
talk0045,"talk0045"
talk0032,"talk0032"
talk0033,"talk0033"
talk0049,"talk0049"
talk0020,"talk0020"
near0000,"near0000"
