Label,String
DmT_BZ_BossOut_Text_005_b,"DmT_BZ_BossOut_Text_005_b"
DmT_BZ_BossOut_Text_003_b,"DmT_BZ_BossOut_Text_003_b"
DmT_BZ_BossOut_Text_012_b,"DmT_BZ_BossOut_Text_012_b"
DmT_BZ_BossOut_Text_014_c,"DmT_BZ_BossOut_Text_014_c"
DmT_BZ_BossOut_Text_001_b,"DmT_BZ_BossOut_Text_001_b"
DmT_BZ_BossOut_Text_010_b,"DmT_BZ_BossOut_Text_010_b"
DmT_BZ_BossOut_Text_008_b,"DmT_BZ_BossOut_Text_008_b"
DmT_BZ_BossOut_Text_006_b,"DmT_BZ_BossOut_Text_006_b"
DmT_BZ_BossOut_Text_004_b,"DmT_BZ_BossOut_Text_004_b"
DmT_BZ_BossOut_Text_013_b,"DmT_BZ_BossOut_Text_013_b"
DmT_BZ_BossOut_Text_002_b,"DmT_BZ_BossOut_Text_002_b"
DmT_BZ_BossOut_Text_000_b,"DmT_BZ_BossOut_Text_000_b"
DmT_BZ_BossOut_Text_011_c,"DmT_BZ_BossOut_Text_011_c"
DmT_BZ_BossOut_Text_009_b,"DmT_BZ_BossOut_Text_009_b"
DmT_BZ_BossOut_Text_007_b,"DmT_BZ_BossOut_Text_007_b"
