Label,String
Dm_GO_0013_Text_004_b,"Dm_GO_0013_Text_004_b"
Text04,"Text04"
Dm_GO_0013_Text_005_b,"Dm_GO_0013_Text_005_b"
Dm_GO_0013_Text_010_b_01,"Dm_GO_0013_Text_010_b_01"
Dm_GO_0013_Text_006_b,"Dm_GO_0013_Text_006_b"
Dm_GO_0013_Text_007_b,"Dm_GO_0013_Text_007_b"
Dm_GO_0013_Text_001_b,"Dm_GO_0013_Text_001_b"
Dm_GO_0013_Text_008_b,"Dm_GO_0013_Text_008_b"
Dm_GO_0013_Text_010_b,"Dm_GO_0013_Text_010_b"
Dm_GO_0013_Text_002_b,"Dm_GO_0013_Text_002_b"
Dm_GO_0013_Text_009_b,"Dm_GO_0013_Text_009_b"
Dm_GO_0013_Text_003_b,"Dm_GO_0013_Text_003_b"
