Label,String
Dm_ZE_0005_Text_018_b,"Dm_ZE_0005_Text_018_b"
Dm_ZE_0005_Text_030_b,"Dm_ZE_0005_Text_030_b"
Dm_ZE_0005_Text_035_c,"Dm_ZE_0005_Text_035_c"
Dm_ZE_0005_Text_013_b,"Dm_ZE_0005_Text_013_b"
Dm_ZE_0005_Text_026_b,"Dm_ZE_0005_Text_026_b"
Dm_ZE_0005_Text_021_b,"Dm_ZE_0005_Text_021_b"
Dm_ZE_0005_Text_004_b,"Dm_ZE_0005_Text_004_b"
Dm_ZE_0005_Text_038_b,"Dm_ZE_0005_Text_038_b"
Dm_ZE_0005_Text_033_b,"Dm_ZE_0005_Text_033_b"
Dm_ZE_0005_Text_016_b,"Dm_ZE_0005_Text_016_b"
Dm_ZE_0005_Text_029_b,"Dm_ZE_0005_Text_029_b"
Dm_ZE_0005_Text_041_b,"Dm_ZE_0005_Text_041_b"
Dm_ZE_0005_Text_011_b,"Dm_ZE_0005_Text_011_b"
Dm_ZE_0005_Text_024_b,"Dm_ZE_0005_Text_024_b"
Dm_ZE_0005_Text_007_b,"Dm_ZE_0005_Text_007_b"
Dm_ZE_0005_Text_002_b,"Dm_ZE_0005_Text_002_b"
Dm_ZE_0005_Text_036_b,"Dm_ZE_0005_Text_036_b"
Dm_ZE_0005_Text_019_b,"Dm_ZE_0005_Text_019_b"
Dm_ZE_0005_Text_031_b,"Dm_ZE_0005_Text_031_b"
Dm_ZE_0005_Text_014_b,"Dm_ZE_0005_Text_014_b"
Dm_ZE_0005_Text_027_b,"Dm_ZE_0005_Text_027_b"
Dm_ZE_0005_Text_022_b,"Dm_ZE_0005_Text_022_b"
Dm_ZE_0005_Text_005_b,"Dm_ZE_0005_Text_005_b"
Dm_ZE_0005_Text_039_b,"Dm_ZE_0005_Text_039_b"
Dm_ZE_0005_Text_000_b,"Dm_ZE_0005_Text_000_b"
Dm_ZE_0005_Text_017_b,"Dm_ZE_0005_Text_017_b"
Dm_ZE_0005_Text_034_c,"Dm_ZE_0005_Text_034_c"
Dm_ZE_0005_Text_012_b,"Dm_ZE_0005_Text_012_b"
Dm_ZE_0005_Text_016_ab,"Dm_ZE_0005_Text_016_ab"
Dm_ZE_0005_Text_017_c,"Dm_ZE_0005_Text_017_c"
Dm_ZE_0005_Text_025_b,"Dm_ZE_0005_Text_025_b"
Dm_ZE_0005_Text_020_b,"Dm_ZE_0005_Text_020_b"
Dm_ZE_0005_Text_025_c,"Dm_ZE_0005_Text_025_c"
Dm_ZE_0005_Text_003_b,"Dm_ZE_0005_Text_003_b"
Dm_ZE_0005_Text_010_ab,"Dm_ZE_0005_Text_010_ab"
Dm_ZE_0005_Text_037_b,"Dm_ZE_0005_Text_037_b"
Dm_ZE_0005_Text_032_b,"Dm_ZE_0005_Text_032_b"
Dm_ZE_0005_Text_015_b,"Dm_ZE_0005_Text_015_b"
Dm_ZE_0005_Text_028_b,"Dm_ZE_0005_Text_028_b"
Dm_ZE_0005_Text_032_c,"Dm_ZE_0005_Text_032_c"
Dm_ZE_0005_Text_040_b,"Dm_ZE_0005_Text_040_b"
Dm_ZE_0005_Text_010_b,"Dm_ZE_0005_Text_010_b"
Dm_ZE_0005_Text_023_b,"Dm_ZE_0005_Text_023_b"
Dm_ZE_0005_Text_006_b,"Dm_ZE_0005_Text_006_b"
Dm_ZE_0005_Text_001_b,"Dm_ZE_0005_Text_001_b"
