Label,String
Near1027,"Near1027"
Talk1022,"Talk1022"
Talk1016,"Talk1016"
Near1028,"Near1028"
Talk1017,"Talk1017"
Talk1030,"Talk1030"
Talk_020,"Talk_020"
Talk1018,"Talk1018"
Talk1024,"Talk1024"
Talk1019,"Talk1019"
Talk_021,"Talk_021"
Talk1025,"Talk1025"
Talk1031,"Talk1031"
Talk1032,"Talk1032"
Talk1026,"Talk1026"
Talk_016,"Talk_016"
Talk1033,"Talk1033"
Talk1027,"Talk1027"
Talk_017,"Talk_017"
Talk1034,"Talk1034"
Talk1028,"Talk1028"
Talk1040,"Talk1040"
Talk_018,"Talk_018"
Talk1035,"Talk1035"
Talk1041,"Talk1041"
Talk_019,"Talk_019"
Talk1029,"Talk1029"
Talk1042,"Talk1042"
Talk1036,"Talk1036"
Talk1037,"Talk1037"
Talk1043,"Talk1043"
Talk1050,"Talk1050"
Talk1038,"Talk1038"
Talk1044,"Talk1044"
Talk1051,"Talk1051"
Talk1039,"Talk1039"
Talk1045,"Talk1045"
Talk1052,"Talk1052"
Talk1046,"Talk1046"
Talk1047,"Talk1047"
Talk1053,"Talk1053"
Talk1054,"Talk1054"
Talk1060,"Talk1060"
Talk1048,"Talk1048"
Talk1049,"Talk1049"
Talk1056,"Talk1056"
Talk1062,"Talk1062"
Talk1057,"Talk1057"
Talk1063,"Talk1063"
Talk1015_01,"Talk1015_01"
Talk1058,"Talk1058"
Talk1059,"Talk1059"
Talk1065,"Talk1065"
Talk1066,"Talk1066"
Talk1067,"Talk1067"
Talk1068,"Talk1068"
Talk1069,"Talk1069"
PosterMessage,"PosterMessage"
Near1001,"Near1001"
Near1010,"Near1010"
Near1011,"Near1011"
Talk1001,"Talk1001"
Near1006,"Near1006"
Near1012,"Near1012"
Talk1022_01,"Talk1022_01"
Talk1002,"Talk1002"
Near1007,"Near1007"
Near1013,"Near1013"
Near1020,"Near1020"
Near1008,"Near1008"
Near1014,"Near1014"
Near1009,"Near1009"
Near1015,"Near1015"
Near1021,"Near1021"
Talk1010,"Talk1010"
Talk1005,"Talk1005"
Near1022,"Near1022"
Near1016,"Near1016"
Talk1011,"Talk1011"
Talk1012,"Talk1012"
Near1023,"Near1023"
Near1017,"Near1017"
Near1018,"Near1018"
Near1024,"Near1024"
Talk1007,"Talk1007"
Talk1013,"Talk1013"
Talk1020,"Talk1020"
Near1019,"Near1019"
Near1025,"Near1025"
Talk1008,"Talk1008"
Talk1014,"Talk1014"
Near1026,"Near1026"
Talk1009,"Talk1009"
Talk1021,"Talk1021"
Talk1015,"Talk1015"
