Label,String
StartPoint_07,"StartPoint_07"
StartPoint_08,"StartPoint_08"
StartPoint_09,"StartPoint_09"
Greeting,"Greeting"
Near_BackRange_01,"Near_BackRange_01"
Near_GoRange_02,"Near_GoRange_02"
StartPoint_01_2,"StartPoint_01_2"
BackRange_02_2,"BackRange_02_2"
FriendGreet_01,"FriendGreet_01"
BackRange_02_3,"BackRange_02_3"
BackRange_02_4,"BackRange_02_4"
BackRange_02_5,"BackRange_02_5"
GoalPoint_01,"GoalPoint_01"
BackRange_02_6,"BackRange_02_6"
Atacked00,"Atacked00"
Atacked01,"Atacked01"
Guardian00,"Guardian00"
BackRange_01,"BackRange_01"
BackRange_02,"BackRange_02"
StartPoint_11,"StartPoint_11"
GoalPoint_01_10,"GoalPoint_01_10"
BackRange_03,"BackRange_03"
SavedLv3_00,"SavedLv3_00"
Greeting_00,"Greeting_00"
StartPoint_12,"StartPoint_12"
BackRange_04,"BackRange_04"
SavedLv3_01,"SavedLv3_01"
Failed00,"Failed00"
Thanks00,"Thanks00"
Greeting_01,"Greeting_01"
StartPoint_13,"StartPoint_13"
BackRange_05,"BackRange_05"
Failed01,"Failed01"
StartPoint_14,"StartPoint_14"
BackRange_06,"BackRange_06"
StartPoint_15,"StartPoint_15"
Near_Thunder,"Near_Thunder"
StartPoint_16,"StartPoint_16"
GoalPoint_01_2,"GoalPoint_01_2"
GoalPoint_01_3,"GoalPoint_01_3"
SavedLv2_00,"SavedLv2_00"
GoalPoint_01_4,"GoalPoint_01_4"
SavedLv2_01,"SavedLv2_01"
GoalPoint_01_5,"GoalPoint_01_5"
Near_RainPoint_01,"Near_RainPoint_01"
GoalPoint_01_6,"GoalPoint_01_6"
GoalPoint_01_7,"GoalPoint_01_7"
GoalPoint_01_8,"GoalPoint_01_8"
Near_GoalPoint_01,"Near_GoalPoint_01"
GoalPoint_01_9,"GoalPoint_01_9"
SavedLv1_00,"SavedLv1_00"
SavedLv1_01,"SavedLv1_01"
StartPoint_01,"StartPoint_01"
StartPoint_02,"StartPoint_02"
BackRange_01_2,"BackRange_01_2"
Near_StartPoint_01,"Near_StartPoint_01"
StartPoint_03,"StartPoint_03"
Near_Rain,"Near_Rain"
StartPoint_04,"StartPoint_04"
EnokidaSignboard,"EnokidaSignboard"
StartPoint_05,"StartPoint_05"
StartPoint_06,"StartPoint_06"
