Label,String
NakedPlayer_01,"NakedPlayer_01"
Near_06,"Near_06"
Talk_22,"Talk_22"
NakedPlayer_02,"NakedPlayer_02"
Talk_06,"Talk_06"
Talk_23,"Talk_23"
Talk_07,"Talk_07"
Talk_24,"Talk_24"
Talk_08,"Talk_08"
Talk_25,"Talk_25"
Talk_09,"Talk_09"
Talk_26,"Talk_26"
Talk_10,"Talk_10"
BlackZelda_01,"BlackZelda_01"
Talk_11,"Talk_11"
BlackZelda_02,"BlackZelda_02"
Talk_12,"Talk_12"
Talk_13,"Talk_13"
TerrorSword,"TerrorSword"
Talk_14,"Talk_14"
Talk_15,"Talk_15"
Talk_17,"Talk_17"
Talk_18,"Talk_18"
Talk_00,"Talk_00"
Near_01,"Near_01"
Near_02,"Near_02"
Talk_19,"Talk_19"
Near_03,"Near_03"
Talk_02,"Talk_02"
Talk_03,"Talk_03"
Near_04,"Near_04"
TerrorHorse,"TerrorHorse"
Talk_20,"Talk_20"
Talk_04,"Talk_04"
Near_05,"Near_05"
NakedPlayer_00,"NakedPlayer_00"
Talk_21,"Talk_21"
