Label,String
StartPoint_01,"StartPoint_01"
GoalPoint_01,"GoalPoint_01"
BackRange_01_6,"BackRange_01_6"
SavedLv2_00,"SavedLv2_00"
SavedLv2_01,"SavedLv2_01"
GoalPoint_01_2,"GoalPoint_01_2"
GoalPoint_01_3,"GoalPoint_01_3"
Atacked00,"Atacked00"
BackRange_02_2,"BackRange_02_2"
Atacked01,"Atacked01"
StartPoint_01_2,"StartPoint_01_2"
Guardian00,"Guardian00"
StartPoint_01_3,"StartPoint_01_3"
Near_GoalPoint_01,"Near_GoalPoint_01"
GerudoHello_01,"GerudoHello_01"
StartPoint_01_4,"StartPoint_01_4"
Failed00,"Failed00"
StartPoint_01_5,"StartPoint_01_5"
RainRun_01,"RainRun_01"
SavedLv3_00,"SavedLv3_00"
Failed01,"Failed01"
Thanks00,"Thanks00"
StartPoint_01_6,"StartPoint_01_6"
RainRun_02,"RainRun_02"
SavedLv1_00,"SavedLv1_00"
SavedLv3_01,"SavedLv3_01"
GoRange_02_2,"GoRange_02_2"
SavedLv1_01,"SavedLv1_01"
Near_Rain,"Near_Rain"
Near_GoRange_02,"Near_GoRange_02"
RainPoint_01_2,"RainPoint_01_2"
GoRange_02,"GoRange_02"
RainPoint_01,"RainPoint_01"
Near_RainPoint_01,"Near_RainPoint_01"
GerudoMorning_01,"GerudoMorning_01"
EnokidaSignboard,"EnokidaSignboard"
GerudoEvening_01,"GerudoEvening_01"
BackRange_01_2,"BackRange_01_2"
Near_StartPoint_01,"Near_StartPoint_01"
BackRange_01,"BackRange_01"
BackRange_01_3,"BackRange_01_3"
Near_StartPoint_02,"Near_StartPoint_02"
Near_Thunder,"Near_Thunder"
Near_BackRange_01,"Near_BackRange_01"
AssassinClothes,"AssassinClothes"
BackRange_01_4,"BackRange_01_4"
BackRange_02,"BackRange_02"
Near_BackRange_02,"Near_BackRange_02"
BackRange_01_5,"BackRange_01_5"
