Label,String
Talk1009,"Talk1009"
Ballon_0004,"Ballon_0004"
Ballon_0005,"Ballon_0005"
Talk1020,"Talk1020"
WakkaCharm,"WakkaCharm"
LargeHorse,"LargeHorse"
Talk1010,"Talk1010"
Talk1011,"Talk1011"
Talk1012,"Talk1012"
BoneHorse,"BoneHorse"
Talk1001,"Talk1001"
Talk1002,"Talk1002"
0001,"0001"
Talk1003,"Talk1003"
0002,"0002"
0003,"0003"
Talk1004,"Talk1004"
0004,"0004"
Talk1005,"Talk1005"
GoldHorse,"GoldHorse"
Talk1006,"Talk1006"
Ballon_0001,"Ballon_0001"
Talk1007,"Talk1007"
Ballon_0002,"Ballon_0002"
Talk2000,"Talk2000"
Talk1008,"Talk1008"
Ballon_0003,"Ballon_0003"
Talk2001,"Talk2001"
