Label,String
Talk_26,"Talk_26"
Talk_50,"Talk_50"
Talk_27,"Talk_27"
Talk_51,"Talk_51"
Talk_10,"Talk_10"
Talk_28,"Talk_28"
Talk_11,"Talk_11"
Talk_52,"Talk_52"
Talk_29,"Talk_29"
Talk_12,"Talk_12"
Talk_53,"Talk_53"
Talk_13,"Talk_13"
Talk_14,"Talk_14"
Talk_55,"Talk_55"
Talk_56,"Talk_56"
Talk_15,"Talk_15"
Talk_57,"Talk_57"
0000,"0000"
Talk_17,"Talk_17"
Talk_40,"Talk_40"
Talk_00,"Talk_00"
0001,"0001"
Talk_59,"Talk_59"
Talk_41,"Talk_41"
Talk_01,"Talk_01"
0002,"0002"
Talk_19,"Talk_19"
Talk_42,"Talk_42"
NakedPlayer,"NakedPlayer"
Talk_02,"Talk_02"
0003,"0003"
Talk_43,"Talk_43"
Talk_03,"Talk_03"
Talk_44,"Talk_44"
Talk_04,"Talk_04"
0005,"0005"
Talk_45,"Talk_45"
Talk_05,"Talk_05"
Talk_46,"Talk_46"
Talk_06,"Talk_06"
Talk_47,"Talk_47"
Talk_48,"Talk_48"
Talk_07,"Talk_07"
Talk_08,"Talk_08"
Talk_31,"Talk_31"
Talk_09,"Talk_09"
Talk_32,"Talk_32"
Talk_33,"Talk_33"
Talk_34,"Talk_34"
Talk_35,"Talk_35"
Talk_36,"Talk_36"
Talk_37,"Talk_37"
Talk_20,"Talk_20"
Talk_38,"Talk_38"
Talk_21,"Talk_21"
Talk_39,"Talk_39"
Talk_22,"Talk_22"
Talk_23,"Talk_23"
Talk_24,"Talk_24"
Talk_25,"Talk_25"
