Label,String
Talk2004,"Talk2004"
Talk1001,"Talk1001"
Talk2007,"Talk2007"
Talk2008,"Talk2008"
Talk1003,"Talk1003"
Near2001,"Near2001"
Talk1004,"Talk1004"
Near2002,"Near2002"
Talk1005,"Talk1005"
Com_Talk_11,"Com_Talk_11"
Talk1006,"Talk1006"
Near2004,"Near2004"
Com_Talk_13,"Com_Talk_13"
Com_Talk_14,"Com_Talk_14"
Talk1008,"Talk1008"
Talk1009,"Talk1009"
Com_Talk_15,"Com_Talk_15"
Com_Talk_16,"Com_Talk_16"
Com_Talk_11b,"Com_Talk_11b"
Com_Talk_11c,"Com_Talk_11c"
Com_Talk_11d,"Com_Talk_11d"
Talk1008_01,"Talk1008_01"
0001,"0001"
Talk1008_02,"Talk1008_02"
0002,"0002"
Talk1008_03,"Talk1008_03"
Com_Talk_33,"Com_Talk_33"
0003,"0003"
Talk1008_04,"Talk1008_04"
Com_Talk_05b,"Com_Talk_05b"
Com_Talk_00,"Com_Talk_00"
Com_Talk_05c,"Com_Talk_05c"
Com_Talk_35,"Com_Talk_35"
Com_Talk_05d,"Com_Talk_05d"
Com_Talk_01,"Com_Talk_01"
Com_Talk_02,"Com_Talk_02"
near1,"near1"
near2,"near2"
Com_Talk_02b,"Com_Talk_02b"
Com_Talk_04,"Com_Talk_04"
Com_Talk_50,"Com_Talk_50"
Talk1010,"Talk1010"
Com_Talk_05,"Com_Talk_05"
Com_Talk_02c,"Com_Talk_02c"
Talk1016_01,"Talk1016_01"
Com_Talk_02d,"Com_Talk_02d"
Talk1011,"Talk1011"
5500,"5500"
Talk1012,"Talk1012"
5501,"5501"
Com_Talk_53,"Com_Talk_53"
Talk1013,"Talk1013"
Talk1014,"Talk1014"
5503,"5503"
Com_Talk_55,"Com_Talk_55"
Talk1015,"Talk1015"
Talk1016,"Talk1016"
Talk1015_01,"Talk1015_01"
Talk1017,"Talk1017"
5508,"5508"
Talk2001,"Talk2001"
Talk2002,"Talk2002"
Talk2003,"Talk2003"
